緯度,経度,名称,住所,区,診療科,電話番号,診療時間,休診日等,URL
35.847364,139.668089,南浦和眼科診療所,埼玉県さいたま市南区南本町2-1-2,南区,眼科,,00:00~00:00 16:30~18:30,,
35.905975,139.617363,医療法人社団活寿会大宮ひざ関節症クリニック,埼玉県さいたま市大宮区桜木町4-209 第3バーディートライビル4階,大宮区,皮膚科,(03)6705-8995,09:00~18:00,日,
35.891775,139.62991,新都心皮フ科クリニック,埼玉県さいたま市中央区新都心4-12 ミツエビル301,中央区,皮膚科,(048)600-0088,10:00~13:00 15:00~19:00,水・土午後・日・祝,
35.894874,139.63609,医療法人社団映仁会コクーンシティ眼科,埼玉県さいたま市大宮区吉敷町4-267-2 コクーンシティ コクーン1・1F,大宮区,眼科,(048)601-1030,11:00~13:30 14:30~19:00,館内休館日のみ,
35.891283,139.631943,埼玉県立小児医療センター,埼玉県さいたま市中央区新都心1-2,中央区,小児科・皮膚科・眼科・耳鼻咽喉科,(048)601-2200,,日・祝,
35.8449347608562,139.645916068679,Sunnyキッズクリニック ザ・マーケットプレイス武蔵浦和院,埼玉県さいたま市南区沼影1-8-18 ザ・マーケットプレイス武蔵浦和4階,南区,小児科,(048)606-4204,09:00~13:00 14:00~18:00,木午後,
35.858694,139.659134,浦和つばさ眼科,埼玉県さいたま市浦和区東高砂町11-1 浦和パルコ2階,浦和区,眼科,(048)611-8471,10:30~13:00 14:30~18:30,木,
35.918353,139.59179,医療法人聖橘堂澤田こどもクリニック,埼玉県さいたま市西区三橋6-1043,西区,小児科,(048)620-3151,08:30~11:30 15:00~18:00,日・祝・木,
35.9327811803701,139.587876706191,西大宮耳鼻咽喉科ときわクリニック,埼玉県さいたま市西区清河寺1197-3,西区,耳鼻咽喉科,(048)620-3387,09:00~12:30 14:30~18:00,水午後 日祝,
35.92024424,139.56542836,桜整形外科内科ペインクリニック,埼玉県さいたま市西区指扇領別所366-81 指扇マンション1階A号室,西区,皮膚科,(048)620-5811,08:45~11:30 14:45~18:00,水、日、祝、土午後,
35.91717,139.588574,医療法人大宮はまだ眼科,埼玉県さいたま市西区三橋6-607-1,西区,眼科,(048)620-7777,09:00~12:30 14:00~18:30,水・日・祝,
35.888074,139.559782,春陽苑にこにこクリニック,埼玉県さいたま市西区飯田新田91-1,西区,皮膚科,(048)621-1125,09:00~12:00 13:00~17:30,日,
35.893661803269,139.728764688767,キッズクリニックみーの,埼玉県さいたま市緑区美園4-10-1 シモンイースト美園1階,緑区,小児科,(048)621-6011,09:00~12:00 14:30~18:30,木 日 祝,
35.920925,139.590118,さいたま市総合療育センターひまわり学園,埼玉県さいたま市西区三橋6-1587,西区,小児科・眼科・耳鼻咽喉科,(048)622-1734,09:00~12:00 13:00~17:00,日 祝 土,
35.922783,139.560795,指扇病院,埼玉県さいたま市西区宝来1295-1,西区,皮膚科・眼科・耳鼻咽喉科,(048)623-1101,09:00~13:00 14:00~17:30,土午後・日・祝,
