緯度,経度,名称,住所,区,診療科,電話番号,診療時間,休診日等,URL
35.891283,139.631943,埼玉県立小児医療センター,埼玉県さいたま市中央区新都心1-2,中央区,小児科・皮膚科・眼科・耳鼻咽喉科,(048)601-2200,,日・祝,
35.8449347608562,139.645916068679,Sunnyキッズクリニック ザ・マーケットプレイス武蔵浦和院,埼玉県さいたま市南区沼影1-8-18 ザ・マーケットプレイス武蔵浦和4階,南区,小児科,(048)606-4204,09:00~13:00 14:00~18:00,木午後,
35.918353,139.59179,医療法人聖橘堂澤田こどもクリニック,埼玉県さいたま市西区三橋6-1043,西区,小児科,(048)620-3151,08:30~11:30 15:00~18:00,日・祝・木,
35.893661803269,139.728764688767,キッズクリニックみーの,埼玉県さいたま市緑区美園4-10-1 シモンイースト美園1階,緑区,小児科,(048)621-6011,09:00~12:00 14:30~18:30,木 日 祝,
35.920925,139.590118,さいたま市総合療育センターひまわり学園,埼玉県さいたま市西区三橋6-1587,西区,小児科・眼科・耳鼻咽喉科,(048)622-1734,09:00~12:00 13:00~17:00,日 祝 土,
35.911141,139.587891,みはし医院,埼玉県さいたま市西区三橋6-53,西区,小児科・皮膚科・眼科,(048)624-2545,09:00~12:00 16:00~18:00,木・日・祝・土午後,
35.91679,139.62507,大澤歯科医院,埼玉県さいたま市大宮区土手町3-201,大宮区,小児科,(048)641-1525,09:00~12:00 13:00~18:00,日・祝・木,
35.903604,139.611254,医療法人小児科金子医院,埼玉県さいたま市大宮区上小町338,大宮区,小児科,(048)642-6820,08:50~12:00 13:30~18:10,木・日・祝,
35.907698,139.642978,にこにこ小児科医院,埼玉県さいたま市大宮区天沼町1-426-1,大宮区,小児科,(048)645-1150,09:00~12:00 14:00~18:00,土午後・日・祝,
35.8952295540992,139.633175975862,新都心こどもクリニック,埼玉県さいたま市大宮区吉敷町4-262-14 ニューキャピタルビル1階,大宮区,小児科,(048)648-0260,09:00~12:00 14:00~18:00,日・祝,
35.950283,139.598445,いしかわキッズクリニック,埼玉県さいたま市北区奈良町113-7,北区,小児科,(048)652-8888,09:00~12:00 14:00~17:30,水PM 土PM 日 祝,
35.930827,139.619054,宮原キッズクリニック,埼玉県さいたま市北区宮原町1-13-5,北区,小児科,(048)653-9888,09:00~12:00 16:00~18:30,日・祝,
35.9065189641251,139.619541218581,医療法人せせらぎ あんどこどもクリニック 大宮サクラスクエア,埼玉県さいたま市大宮区桜木町2-902 大宮サクラスクエアモール302,大宮区,小児科,(048)658-9099,09:00~13:00 14:30~18:00,祝,
35.939956,139.622251,藤田こどもクリニック,埼玉県さいたま市北区宮原町1-715-2,北区,小児科,(048)668-6216,09:00~12:00 15:30~18:30,日・祝・火・金,
35.939507,139.609875,たけのここどもクリニック,埼玉県さいたま市北区宮原町3-173-7,北区,小児科,(048)668-7766,09:00~12:00 14:00~18:00,水午後、土午後、日祝,
35.909608,139.604831,みはし小児クリニック,埼玉県さいたま市大宮区三橋1-189,大宮区,小児科,(048)669-0072,09:00~12:00 14:00~18:00,木 日 土午後 祝,
35.9039554592096,139.662304825761,医療法人至裕会押阪こどもクリニック,埼玉県さいたま市見沼区南中野3-25,見沼区,小児科,(048)680-1936,09:00~13:00 15:00~18:00,日・祝,
35.951258,139.647165,中里小児科,埼玉県さいたま市見沼区東大宮6-22-6,見沼区,小児科,(048)683-8488,09:00~12:30 16:00~18:30,日・祝,
35.94559,139.6512,ハレのこどもクリニック,埼玉県さいたま市見沼区島町393番地 ハレノテラスC棟2階,見沼区,小児科,(048)685-0880,09:00~12:00 14:00~18:00,木・日・祝   土PM,
35.908515,139.659113,けいあいファミリークリニック,埼玉県さいたま市見沼区南中野422-1,見沼区,小児科,(048)685-1231,09:00~13:00 15:00~19:00,日 祝 土PM,
35.933417,139.65947,はとり小児科医院,埼玉県さいたま市見沼区蓮沼1145-7,見沼区,小児科,(048)686-1660,09:00~12:00 14:30~18:00,木土午後・日・祝,
35.843103,139.631487,さいたま市療育センターさくら草,埼玉県さいたま市桜区田島2-16-2,桜区,小児科・耳鼻咽喉科,(048)710-5811,09:00~12:00 12:00~17:00,土・日・祝,
35.8438912567294,139.647036661485,キッズクリニックラムザタワー,埼玉県さいたま市南区沼影1-10-1 ラムザB棟1階,南区,小児科,(048)711-5125,09:00~12:00 14:30~18:30,火午後、木、日、祝,
35.954943,139.688777,小児科竹田クリニック,埼玉県さいたま市岩槻区西町4-1-6,岩槻区,小児科,(048)749-7007,09:00~12:00 14:00~18:00,日・祝,
35.8853727558558,139.636391855746,医療法人社団ナイズ キャップスクリニック与野,埼玉県さいたま市中央区下落合1027 与野フードセンタービル4階,中央区,小児科,(048)755-9581,09:00~13:00 15:00~21:00,,
35.946164,139.69326,医療法人自然堂峯小児科,埼玉県さいたま市岩槻区本町1-16-6,岩槻区,小児科・耳鼻咽喉科,(048)756-0070,09:00~18:00,日・祝,
35.947483,139.691577,じんの小児科,埼玉県さいたま市岩槻区本町1-8-11,岩槻区,小児科,(048)756-8181,09:00~12:00 14:30~18:00,日・祝,
35.949686,139.693708,いわつき小児科クリニック,埼玉県さいたま市岩槻区本町3-2-32 東玉ビル2階,岩槻区,小児科,(048)757-0800,09:00~12:30 14:30~18:00,水土午後・日・祝,
35.850183,139.667925,たんぽぽ子どもクリニック,埼玉県さいたま市南区南浦和1-33-15 2F,南区,小児科,(048)762-8066,09:00~12:00 14:00~18:00,木、日、祝、土午後,
35.900182,139.624677,上落合クリニック,埼玉県さいたま市中央区上落合9-4-15,中央区,小児科,(048)762-9110,09:00~12:00 15:00~18:00,水土の午後、日祝,
35.934919,139.594807,花の丘キッズクリニック,埼玉県さいたま市西区大字内野本郷578-4,西区,小児科,(048)780-2075,09:00~12:00 14:00~17:30,金、日祝、土午後,
35.910866,139.627621,小児科 中村医院,埼玉県さいたま市大宮区宮町3-135,大宮区,小児科,(048)780-2771,08:30~12:00 13:00~18:00,木午後・土午後・日・祝,
