緯度,経度,名称,住所,区,診療科,電話番号,診療時間,休診日等,URL
35.905975,139.617363,医療法人社団活寿会大宮ひざ関節症クリニック,埼玉県さいたま市大宮区桜木町4-209 第3バーディートライビル4階,大宮区,皮膚科,(03)6705-8995,09:00~18:00,日,
35.891775,139.62991,新都心皮フ科クリニック,埼玉県さいたま市中央区新都心4-12 ミツエビル301,中央区,皮膚科,(048)600-0088,10:00~13:00 15:00~19:00,水・土午後・日・祝,
35.891283,139.631943,埼玉県立小児医療センター,埼玉県さいたま市中央区新都心1-2,中央区,小児科・皮膚科・眼科・耳鼻咽喉科,(048)601-2200,,日・祝,
35.92024424,139.56542836,桜整形外科内科ペインクリニック,埼玉県さいたま市西区指扇領別所366-81 指扇マンション1階A号室,西区,皮膚科,(048)620-5811,08:45~11:30 14:45~18:00,水、日、祝、土午後,
35.888074,139.559782,春陽苑にこにこクリニック,埼玉県さいたま市西区飯田新田91-1,西区,皮膚科,(048)621-1125,09:00~12:00 13:00~17:30,日,
35.922783,139.560795,指扇病院,埼玉県さいたま市西区宝来1295-1,西区,皮膚科・眼科・耳鼻咽喉科,(048)623-1101,09:00~13:00 14:00~17:30,土午後・日・祝,
35.92253,139.562423,指扇療養病院,埼玉県さいたま市西区宝来1348-1,西区,皮膚科,(048)623-1102,,日・祝,
35.911141,139.587891,みはし医院,埼玉県さいたま市西区三橋6-53,西区,小児科・皮膚科・眼科,(048)624-2545,09:00~12:00 16:00~18:00,木・日・祝・土午後,
35.914559,139.564256,湯澤医院,埼玉県さいたま市西区西遊馬1260-1,西区,皮膚科,(048)624-3974,09:00~12:00 15:00~18:00,土午後・日・祝,
35.924985,139.570116,わかやま内科,埼玉県さいたま市西区中釘2372-17,西区,皮膚科,(048)624-5876,09:00~12:00 16:00~19:00,日・祝・土午後,
35.9222619451969,139.585777562701,大田医院,埼玉県さいたま市西区三橋6-1791-5,西区,皮膚科,(048)625-6175,09:30~12:30 14:30~18:00,日・祝・水,
35.899572,139.598516,かねだクリニック,埼玉県さいたま市大宮区三橋2-484-2,大宮区,皮膚科,(048)625-7886,09:00~12:00 15:00~19:00,木・祝,
35.88182,139.598221,さいたま市民医療センター,埼玉県さいたま市西区島根299-1,西区,皮膚科・耳鼻咽喉科,(048)626-0011,09:00~12:00 01:30~17:00,日・祝,
35.906134,139.620413,桜木中央クリニック,埼玉県さいたま市大宮区桜木町2-192 岡田ビル5F,大宮区,皮膚科,(048)631-3870,10:00~12:00 13:00~18:00,月火水木金,
35.910505,139.631334,あづま皮膚科,埼玉県さいたま市大宮区東町2-207 プランドールOMIYA1F,大宮区,皮膚科,(048)640-4100,09:30~12:30 15:00~18:00,日・祝・水,
35.90492279,139.62321009,医療法人社団イースト会 大宮イースト駅前クリニック,埼玉県さいたま市大宮区桜木町1-2-4 金子ビル4階,大宮区,皮膚科,(048)641-1815,10:00~14:30 15:30~19:00,月,
35.9063,139.621632,メンズライフクリニック大宮院,埼玉県さいたま市大宮区桜木町2-2-12 藤沢ビル4階,大宮区,皮膚科,(048)641-5996,09:00~20:00,,
35.918457,139.636337,豊田クリニック,埼玉県さいたま市大宮区寿能町2-8,大宮区,皮膚科,(048)642-0088,09:00~12:00 14:00~18:00,日・祝,
35.9062359760605,139.621086954515,大宮西口皮フ科形成外科,埼玉県さいたま市大宮区桜木町2-4-10 5階,大宮区,皮膚科,(048)642-3568,10:00~13:00 15:00~19:30,水 日 祝,
35.911694,139.636009,医療法人社団双愛会大宮双愛病院,埼玉県さいたま市大宮区堀の内町2-160,大宮区,皮膚科,(048)643-1200,,日・祝,
35.907736,139.620774,医療法人福井会桜木皮膚科,埼玉県さいたま市大宮区桜木町2-7-9 鍋島ビル2F,大宮区,皮膚科,(048)643-2850,09:30~12:30 15:00~19:00,木・日・祝・土午後,
35.906078,139.620632,サンルイ皮ふ科,埼玉県さいたま市大宮区桜木町2-154 川村ビル4F,大宮区,皮膚科,(048)644-0527,09:30~12:00 17:00~20:00,土・日午後・祝,
35.9103111130522,139.627056040038,グレースデンタルメディカルクリニック大宮分院,埼玉県さいたま市大宮区宮町3-7-4 ヤナカビル2階,大宮区,皮膚科,(048)644-1184,09:00~12:00 13:00~18:00,日・祝,
