緯度,経度,名称,住所,区,診療科,電話番号,診療時間,休診日等,URL
35.847364,139.668089,南浦和眼科診療所,埼玉県さいたま市南区南本町2-1-2,南区,眼科,,00:00~00:00 16:30~18:30,,
35.894874,139.63609,医療法人社団映仁会コクーンシティ眼科,埼玉県さいたま市大宮区吉敷町4-267-2 コクーンシティ コクーン1・1F,大宮区,眼科,(048)601-1030,11:00~13:30 14:30~19:00,館内休館日のみ,
35.891283,139.631943,埼玉県立小児医療センター,埼玉県さいたま市中央区新都心1-2,中央区,小児科・皮膚科・眼科・耳鼻咽喉科,(048)601-2200,,日・祝,
35.858694,139.659134,浦和つばさ眼科,埼玉県さいたま市浦和区東高砂町11-1 浦和パルコ2階,浦和区,眼科,(048)611-8471,10:30~13:00 14:30~18:30,木,
35.91717,139.588574,医療法人大宮はまだ眼科,埼玉県さいたま市西区三橋6-607-1,西区,眼科,(048)620-7777,09:00~12:30 14:00~18:30,水・日・祝,
35.920925,139.590118,さいたま市総合療育センターひまわり学園,埼玉県さいたま市西区三橋6-1587,西区,小児科・眼科・耳鼻咽喉科,(048)622-1734,09:00~12:00 13:00~17:00,日 祝 土,
35.922783,139.560795,指扇病院,埼玉県さいたま市西区宝来1295-1,西区,皮膚科・眼科・耳鼻咽喉科,(048)623-1101,09:00~13:00 14:00~17:30,土午後・日・祝,
35.911141,139.587891,みはし医院,埼玉県さいたま市西区三橋6-53,西区,小児科・皮膚科・眼科,(048)624-2545,09:00~12:00 16:00~18:00,木・日・祝・土午後,
35.90179,139.628613,石田眼科医院,埼玉県さいたま市大宮区吉敷町1-88,大宮区,眼科,(048)641-0262,09:00~12:00 15:00~18:00,木・日・祝・土午後,
35.905773,139.628657,大野眼科医院,埼玉県さいたま市大宮区仲町3-10-5,大宮区,眼科,(048)641-1151,09:00~11:30 14:30~17:30,日・祝、水土午後,
35.9067110265275,139.620586328781,林眼科医院,埼玉県さいたま市大宮区桜木町2-160-1,大宮区,眼科,(048)641-3378,09:00~12:00 14:30~18:00,木、日・祝,
35.906172,139.622025,宮原眼科大宮クリニック,埼玉県さいたま市大宮区桜木町2-1-1 アルシェビル6階,大宮区,眼科,(048)641-6000,10:00~13:00 15:00~18:00,祝,
35.904561,139.627473,医療法人ミツイ眼科医院,埼玉県さいたま市大宮区仲町2-75 大宮フコク生命ビル2F,大宮区,眼科,(048)644-0031,09:30~13:00 15:00~18:30,木 日午後,
35.908514,139.627562,医療法人社団養明堂眼科医院,埼玉県さいたま市大宮区宮町2-9,大宮区,眼科,(048)644-0247,09:00~12:15 14:00~18:15,日・祝,
35.904418,139.62101,大宮西口桜木町眼科診療所,埼玉県さいたま市大宮区桜木町1-8-4,大宮区,眼科,(048)644-8730,00:00~00:00 13:00~19:00,火・水,
