緯度,経度,名称,住所,区,診療科,電話番号,診療時間,休診日等,URL
35.891283,139.631943,埼玉県立小児医療センター,埼玉県さいたま市中央区新都心1-2,中央区,小児科・皮膚科・眼科・耳鼻咽喉科,(048)601-2200,,日・祝,
35.9327811803701,139.587876706191,西大宮耳鼻咽喉科ときわクリニック,埼玉県さいたま市西区清河寺1197-3,西区,耳鼻咽喉科,(048)620-3387,09:00~12:30 14:30~18:00,水午後 日祝,
35.920925,139.590118,さいたま市総合療育センターひまわり学園,埼玉県さいたま市西区三橋6-1587,西区,小児科・眼科・耳鼻咽喉科,(048)622-1734,09:00~12:00 13:00~17:00,日 祝 土,
35.922783,139.560795,指扇病院,埼玉県さいたま市西区宝来1295-1,西区,皮膚科・眼科・耳鼻咽喉科,(048)623-1101,09:00~13:00 14:00~17:30,土午後・日・祝,
35.9053,139.58951,医療法人社団葵仁会 おくクリニック,埼玉県さいたま市西区大字佐知川228-6,西区,耳鼻咽喉科,(048)623-3387,09:00~12:30 15:00~18:00,水 日,
35.88182,139.598221,さいたま市民医療センター,埼玉県さいたま市西区島根299-1,西区,皮膚科・耳鼻咽喉科,(048)626-0011,09:00~12:00 01:30~17:00,日・祝,
35.916639,139.565667,わかばやし耳鼻咽喉科,埼玉県さいたま市西区土屋594-1,西区,耳鼻咽喉科,(048)626-0187,09:00~12:00 15:00~18:00,日・祝・木,
35.90472,139.626218,耳鼻咽喉科市川医院,埼玉県さいたま市大宮区仲町1-89,大宮区,耳鼻咽喉科,(048)641-0464,09:00~12:00 15:00~18:00,火・木・土・日・祝,
35.909278,139.631834,たがみ耳鼻咽喉科,埼玉県さいたま市大宮区東町2-172,大宮区,耳鼻咽喉科,(048)641-2710,09:30~13:00 15:00~18:30,日・祝・木,
35.900421,139.612054,内村医院,埼玉県さいたま市大宮区上小町841,大宮区,耳鼻咽喉科,(048)641-3383,09:00~11:30 16:00~18:00,木・土曜日午後・日・祝,
35.911231,139.641131,水谷耳鼻咽喉科クリニック,埼玉県さいたま市大宮区堀の内町1-210,大宮区,耳鼻咽喉科,(048)645-3387,09:00~12:00 14:30~18:00,木・日・祝,
35.907056,139.645281,自治医科大学附属さいたま医療センター,埼玉県さいたま市大宮区天沼町1-847,大宮区,皮膚科・眼科・耳鼻咽喉科,(048)647-2111,,日・祝,
35.906705,139.603448,医療法人智誠会大成耳鼻咽喉科医院,埼玉県さいたま市大宮区三橋1-1339 グランソレイユ大宮1F,大宮区,耳鼻咽喉科,(048)648-7233,09:00~18:30,日・祝,
35.944193,139.624526,本郷脳神経外科,埼玉県さいたま市北区本郷町1100-2,北区,耳鼻咽喉科,(048)652-8811,09:00~13:00 15:30~18:30,日祝,
35.9381291728888,139.622438272798,羽石耳鼻咽喉科,埼玉県さいたま市北区宮原町1-563,北区,耳鼻咽喉科,(048)653-7500,09:00~12:30 14:30~18:00,木・土午後・日・祝,
35.938466,139.604975,みやはら耳鼻咽喉科,埼玉県さいたま市北区日進町3-534-1,北区,耳鼻咽喉科,(048)653-8733,09:00~12:00 14:30~18:00,水 日 祝,
35.923961,139.608122,おかもと耳鼻咽喉科,埼玉県さいたま市北区日進町2-925-1 KTDビル3階,北区,耳鼻咽喉科,(048)654-7557,09:00~12:00 14:30~18:00,日・祝・木・土午後,
35.903695,139.623344,大宮駅前耳鼻咽喉科クリニック,埼玉県さいたま市大宮区桜木町1-180 Coffre2階,大宮区,耳鼻咽喉科,(048)658-3387,09:30~13:00 15:00~18:30,日 祝,
35.932819,139.619606,独立行政法人地域医療機能推進機構さいたま北部医療センター,埼玉県さいたま市北区宮原町1丁目851番地,北区,皮膚科・眼科・耳鼻咽喉科,(048)663-1671,08:30~11:30 13:00~16:30,土午後・日・祝,
35.920784,139.621096,医療法人ヘブロン会大宮中央総合病院,埼玉県さいたま市北区東大成町1-227,北区,皮膚科・耳鼻咽喉科,(048)663-2501,09:00~18:30,日・祝,
35.932238,139.632659,なかむら耳鼻咽喉科クリニック,埼玉県さいたま市北区土呂町2-12-20 コスモスクエア3階,北区,耳鼻咽喉科,(048)663-3387,09:00~12:30 15:00~18:30,木 日 祝,
35.946728,139.638402,半田耳鼻咽喉科医院,埼玉県さいたま市見沼区東大宮2-1-10,見沼区,耳鼻咽喉科,(048)663-7316,09:00~12:00 15:00~18:30,火木午後・日・祝,
35.951161,139.606655,耳鼻咽喉科かわた医院,埼玉県さいたま市北区宮原町4-123-5,北区,耳鼻咽喉科,(048)664-3387,09:00~12:00 15:00~18:30,日・祝・木午後,
35.92737,139.638139,医療法人社団協友会彩の国東大宮メディカルセンター,埼玉県さいたま市北区土呂町1522,北区,皮膚科・眼科・耳鼻咽喉科,(048)665-6111,09:00~17:30,土・日・祝,
35.930885,139.607939,金子クリニック,埼玉県さいたま市北区日進町2-776-1,北区,耳鼻咽喉科,(048)668-6433,09:00~12:00 12:00~18:00,日・祝・水,
35.919802,139.654174,くにとも耳鼻咽喉科,埼玉県さいたま市見沼区南中丸1034-1,見沼区,耳鼻咽喉科,(048)682-3000,09:15~12:30 15:00~18:30,木・土午後・日・祝,
35.934089,139.662812,角田クリニック,埼玉県さいたま市見沼区蓮沼1079-3,見沼区,耳鼻咽喉科,(048)682-5511,09:00~12:30 15:30~19:00,日・祝・第1・3・5木・第2・4木午後,
35.908515,139.659113,みなみなかのたけのこ耳鼻咽喉科,埼玉県さいたま市見沼区南中野422-1,見沼区,耳鼻咽喉科,(048)685-3387,09:30~12:30 15:00~18:30,土午後・日・祝,
35.927306,139.646864,つばき耳鼻咽喉科,埼玉県さいたま市見沼区大和田町1-959-2 1階,見沼区,耳鼻咽喉科,(048)685-8313,09:30~12:30 15:00~18:00,水・日・祝・土午後,
35.926529,139.677768,医療法人徳洲会 さいたま記念病院,埼玉県さいたま市見沼区東宮下字西196番地,見沼区,皮膚科・眼科・耳鼻咽喉科,(048)686-3111,,,
35.940694,139.665453,七里耳鼻咽喉科,埼玉県さいたま市見沼区小深作566,見沼区,耳鼻咽喉科,(048)687-3387,09:00~12:30 15:00~18:30,木午後・土午後・日・祝,
35.843103,139.631487,さいたま市療育センターさくら草,埼玉県さいたま市桜区田島2-16-2,桜区,小児科・耳鼻咽喉科,(048)710-5811,09:00~12:00 12:00~17:00,土・日・祝,
35.87546909,139.67599787,ほしの耳鼻咽喉科,埼玉県さいたま市緑区大字中尾443-5,緑区,耳鼻咽喉科,(048)711-8741,08:30~12:30 14:30~17:30,水日祝,
35.9128174579999,139.581343450471,たみい耳鼻咽喉科,埼玉県さいたま市西区指扇1223-1,西区,耳鼻咽喉科,(048)729-8664,09:00~12:30 15:00~18:00,日 祝,
35.847263,139.649571,うざわ耳鼻咽喉科クリニック,埼玉県さいたま市南区別所7-2-1 101C号,南区,耳鼻咽喉科,(048)747-3301,09:00~12:30 15:00~18:30,水、日、祝,
35.946164,139.69326,医療法人自然堂峯小児科,埼玉県さいたま市岩槻区本町1-16-6,岩槻区,小児科・耳鼻咽喉科,(048)756-0070,09:00~18:00,日・祝,
35.948783,139.694513,かみうら耳鼻咽喉科,埼玉県さいたま市岩槻区本町1-5-3 ,岩槻区,耳鼻咽喉科,(048)757-2203,09:30~12:30 15:00~18:30,土午後 日 祝,
35.9455842711634,139.695682543178,丸山記念総合病院,埼玉県さいたま市岩槻区本町2-10-5,岩槻区,皮膚科・眼科・耳鼻咽喉科,(048)757-3511,08:30~17:00 00:00~00:00,水・祝・第1日曜日,
35.9561898101436,139.716159096596,まつざわ耳鼻咽喉科,埼玉県さいたま市岩槻区南平野3-7-17,岩槻区,耳鼻咽喉科,(048)758-8733,09:00~12:30 15:00~18:00,水 土午後 日 祝,
35.8462694453967,139.668034422279,南浦和駅前ファミリー耳鼻咽喉科,埼玉県さいたま市南区南本町1-8-1 コイケレジデンス301号室,南区,耳鼻咽喉科,(048)767-3317,09:00~12:30 15:00~18:30,土午後 日祝,
35.87904,139.62573,おぎはら耳鼻咽喉科,埼玉県さいたま市中央区本町東1-5-3,中央区,耳鼻咽喉科,(048)767-3741,09:00~12:00 15:00~18:30,水、土午後、日、祝,
35.8715952934585,139.642199671866,北浦和ファミリー耳鼻咽喉科,埼玉県さいたま市浦和区常盤9-32-15 今井ビル4階,浦和区,耳鼻咽喉科,(048)767-5282,09:00~12:30 15:00~18:30,土午後、日祝,
35.8756966963303,139.695114513696,どんぐり耳鼻咽喉科,埼玉県さいたま市緑区大間木412-10,緑区,耳鼻咽喉科,(048)767-5421,09:00~12:00 14:30~18:00,木 日 祝,
35.8587755024258,139.656849578644,浦和駅ユーカリ耳鼻咽喉科,埼玉県さいたま市浦和区高砂1-16-12 アトレ浦和WestArea4階,浦和区,耳鼻咽喉科,(048)767-5875,10:00~13:30 16:00~20:00,木,
35.910139,139.633804,鼻・副鼻腔クリニック大宮,埼玉県さいたま市大宮区東町2-250-9,大宮区,耳鼻咽喉科,(048)779-8732,09:30~13:30 15:00~19:00,月・日・祝,
35.904804,139.62796,医療法人社団白報会在宅クリニックドクターランド大宮,埼玉県さいたま市大宮区仲町2-60 仲町川鍋ビル2階,大宮区,皮膚科・眼科・耳鼻咽喉科,(048)782-6231,09:00~17:00,土・日・祝,
35.907367,139.627317,大宮東口耳鼻咽喉科クリニック,埼玉県さいたま市大宮区大門町2-118 大宮門街4階,大宮区,耳鼻咽喉科,(048)783-3319,10:00~13:00 15:00~19:00,土午後、日、祝,
35.9096910435914,139.629070346471,スリープメディカルクリニック大宮院,埼玉県さいたま市大宮区高鼻町1-31-1 TOPS大宮2階A号室,大宮区,耳鼻咽喉科,(048)788-1020,11:00~20:00,,
35.856129,139.653567,かめの森診療所,埼玉県さいたま市浦和区岸町7-4-2,浦和区,耳鼻咽喉科,(048)796-7633,09:00~12:00 15:00~18:00,木・土午後・日・祝,
35.945617626643,139.651192323911,ハレノテラス耳鼻咽喉科,埼玉県さいたま市見沼区島町393番地 ハレノテラスC棟2階,見沼区,耳鼻咽喉科,(048)796-8714,09:30~12:30 15:00~18:30,水日祝 土午後,
35.924317,139.712465,目白大学耳科学研究所クリニック,埼玉県さいたま市岩槻区浮谷320,岩槻区,耳鼻咽喉科,(048)797-3341,09:00~12:00 14:00~16:00,土 日 祝,
35.847253,139.672088,なかがわ耳鼻咽喉科,埼玉県さいたま市南区南浦和2-42-12 CASSIA南浦和1階,南区,耳鼻咽喉科,(048)811-1231,09:30~12:00 15:00~18:00,日・祝・木・土午後・水午後,
35.895676,139.728065,なかじまクリニック,埼玉県さいたま市緑区美園4-18-11,緑区,耳鼻咽喉科,(048)812-1600,09:00~12:30 15:00~18:30,木・土午後・日・祝,
35.8475615077307,139.670382337631,南浦和耳鼻咽喉科クリニック,埼玉県さいたま市南区南浦和2-39-18 第六大雄ビル3階,南区,耳鼻咽喉科,(048)813-3387,09:30~12:30 15:00~18:30,水 土午後 日祝,
35.859673,139.655795,若山医院眼科耳鼻咽喉科,埼玉県さいたま市浦和区仲町1-1-6,浦和区,眼科・耳鼻咽喉科,(048)822-2250,09:00~12:30 15:00~18:30,水・土午後・日・祝,
35.8582005334695,139.650778616335,医療法人小野耳鼻咽喉科医院,埼玉県さいたま市浦和区仲町2-16-5 浦和CSBビル2階,浦和区,耳鼻咽喉科,(048)822-6063,09:30~12:30 14:30~18:30,水・土午後・日・祝,
35.844352,139.630292,つぼさか耳鼻咽喉科クリニック,埼玉県さいたま市桜区田島5-19-1 メゾンフェニックスFC23ビル1階,桜区,耳鼻咽喉科,(048)826-5477,09:00~13:00 15:00~18:00,水、日、祝、土午後,
35.886428,139.639476,牛久保耳鼻咽喉科,埼玉県さいたま市浦和区上木崎2-3-2 上木崎メディカルビル2階201号,浦和区,耳鼻咽喉科,(048)831-8741,09:30~13:00 15:00~18:30,木・日・祝,
35.872327,139.64342,独立行政法人地域医療機能推進機構埼玉メディカルセンター,埼玉県さいたま市浦和区北浦和4-9-3,浦和区,皮膚科・眼科・耳鼻咽喉科,(048)832-4951,,,
35.88594,139.64093,医療法人御生会塩野医院総合クリニック,埼玉県さいたま市浦和区上木崎2-14-2 鳳英ビル,浦和区,皮膚科・耳鼻咽喉科,(048)833-8513,09:00~11:30 15:30~17:30,日・祝,
35.83749,139.663598,とくまる耳鼻咽喉科,埼玉県さいたま市南区辻1-26-8,南区,耳鼻咽喉科,(048)838-3387,09:00~12:30 15:00~18:30,水 日 祝,
35.842825,139.651701,武蔵浦和耳鼻咽喉科,埼玉県さいたま市南区白幡4-21-7 武蔵浦和医療ビル2階,南区,耳鼻咽喉科,(048)839-4187,09:00~12:30 15:00~18:30,日 祝,
35.840912,139.630386,三宅耳鼻咽喉科医院,埼玉県さいたま市桜区田島6-2-13-2,桜区,耳鼻咽喉科,(048)839-4711,09:00~12:00 15:00~18:30,日・祝,
35.844045,139.647029,たかまつ耳鼻咽喉科,埼玉県さいたま市南区沼影1-10-1 ラムザタワ-2階,南区,耳鼻咽喉科,(048)845-1133,09:00~12:15 15:00~18:15,土午後・日・祝,
35.8916789437473,139.628670472557,けやき耳鼻咽喉科クリニック,埼玉県さいたま市中央区上落合1-11-15 アスク新都心ビル2階B,中央区,耳鼻咽喉科,(048)851-1333,09:00~12:30 15:00~18:00,水・土午後・日・祝,
35.86773,139.63118,耳鼻咽喉科たけもりクリニック,埼玉県さいたま市中央区鈴谷2-548-10,中央区,耳鼻咽喉科,(048)851-6800,09:00~12:00 15:00~18:00,日・祝・水・金,
35.880779,139.628677,医療法人社団えがわ医院,埼玉県さいたま市中央区下落合7-4-15,中央区,耳鼻咽喉科,(048)852-0280,09:00~12:30 16:00~19:00,日・祝,
35.891855,139.631382,さいたま赤十字病院,埼玉県さいたま市中央区新都心1-5,中央区,皮膚科・眼科・耳鼻咽喉科,(048)852-1111,,,
35.939889,139.626487,医療法人はすみ耳鼻咽喉科,埼玉県さいたま市北区本郷町143-2,北区,耳鼻咽喉科,(048)856-9065,09:00~12:00 15:00~18:00,水、日、土午後,
35.890272,139.624505,北与野耳鼻咽喉科,埼玉県さいたま市中央区上落合3-3-54,中央区,耳鼻咽喉科,(048)857-0051,09:30~12:30 15:00~18:00,日・祝・水,
35.8993,139.622842,医療法人社団彩の風さいたま中央クリニック,埼玉県さいたま市中央区上落合8-3-32 ホームズさいたま中央店2階,中央区,皮膚科・耳鼻咽喉科,(048)858-0003,09:00~12:00 14:00~17:00,日・祝,
35.853374,139.642963,清水医院,埼玉県さいたま市南区別所3-38-9,南区,皮膚科・耳鼻咽喉科,(048)861-1638,09:00~12:00 15:00~18:30,日・木・祝,
35.84223351,139.64355208,しおざわ耳鼻咽喉科,埼玉県さいたま市南区沼影1-22-6 武蔵浦和メディカルビル3F,南区,耳鼻咽喉科,(048)862-3387,09:00~12:30 15:00~18:30,日祝,
35.846399,139.623432,医療法人伴友会伴医院,埼玉県さいたま市桜区田島9-12-12,桜区,耳鼻咽喉科,(048)862-5917,09:00~12:00 15:00~18:00,日・祝,
