名称,住所,電話番号,サービス種別,開所曜日,提供時間,専門職,療育プログラム,個別療育,親支援,設備,費用,説明
ココアスキッズスポーツ西大宮,埼玉県さいたま市西区宮前町665-41 アーバンプラザ宮前町1階,048-871-9695,児童発達支援・放課後デイ,火～土,平日１０：１５～１８：３０ 土曜日１０：１５～１８：３０ 長期学校休業日０９：１５～１７：３０,,,○,,トランポリン、バランスボール、鉄棒、跳び箱,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【児童発達支援・放課後デイ】 個別療育あり 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
児童デイサービス楽しいわが家,埼玉県さいたま市西区三橋6-20-1,048-871-7441,児童発達支援・放課後デイ,月～土,平日１３:００～１７:００ 土曜・祝日１１:００～１７:００ 学校休業日１１:００～１７:００,,粗大運動、音楽/リトミック、学習支援、日常動作、ダンス／おやつ作り／創作活動,○,,トランポリン、ボールプール、パラバルーン,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【児童発達支援・放課後デイ】 療育: 粗大運動、音楽/リトミック、学習支援、日常動作、ダンス/おやつ作り/創作活動 個別療育あり 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
放課後デイサービスみのり,埼玉県さいたま市西区三橋6-1587,048-622-5544,放課後デイ,月～金,学校稼働日１５：００～１８：００ 学校休業日１０：００～１８：００,精神保健福祉士○,音楽/リトミック,○,,,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【放課後デイ】 療育: 音楽/リトミック 専門職: 精神保健福祉士○ 個別療育あり 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
児童デイサービスあやめ,埼玉県さいたま市西区指扇2335-6,048-620-0111,放課後デイ,火～土,平日１１：００～１７：３０ 土曜日１０：００～１６：００ 学校休業日：１０：００～１６：００,,粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、ハイキング,○,,,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【放課後デイ】 療育: 粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、ハイキング 個別療育あり 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
放課後等デイサービスピース,埼玉県さいたま市西区指扇領別所261,048-622-2681,放課後デイ,月～土,平日１４：００～１８：００ 土曜日１０：００～１７：００ 学校休業日１０：００～１７：００,,粗大運動、微細運動、学習支援、日常動作、プログラミング／調理活動／農作業,,,,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【放課後デイ】 療育: 粗大運動、微細運動、学習支援、日常動作、プログラミング/調理活動/農作業 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
ピース２号,埼玉県さいたま市西区指扇領別所281,048-662-9551,児童発達支援・放課後デイ,月～金,平日１０：００～１８：００ 学校休業日１０：００～１７：００,,微細運動、学習支援、日常動作、プログラミング／作業訓練,,,,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【児童発達支援・放課後デイ】 療育: 微細運動、学習支援、日常動作、プログラミング/作業訓練 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
とっとちゃん,埼玉県さいたま市西区西遊馬2180-1,048-626-1909,児童発達支援・放課後デイ,月～土,９：００～１７：００,,粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、ムーブメント／書道／陶芸,○,,バランスボール、トランポリン、ハンモック、平均台,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【児童発達支援・放課後デイ】 療育: 粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、ムーブメント/書道/陶芸 個別療育あり 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
ゆめの園みらいず大宮　児童発達支援・放課後等デイサービス,埼玉県さいたま市西区中野林653-5,048-626-1180,児童発達支援・放課後デイ,児童発達支援 土・日・祝  放課後等デイサービス 月～金、土、日、祝、長期休暇,児童発達支援 １０：００～１６：３０ 放課後等デイサービス 月～金　　１４：３０～１７：３０ 土、日、祝、長期休暇１０：００～１６：３０,,粗大運動、微細運動、音楽/リトミック、SST,,,プレイクッション、エアトランポリン、ミニトランポリン、バランスボール,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【児童発達支援・放課後デイ】 療育: 粗大運動、微細運動、音楽/リトミック、SST 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
あすぽーと指扇,埼玉県さいたま市西区宝来2224-3 コンフォート都B1F,048-782-8089,放課後デイ,月～土,平日１０：００～１９：００ 土曜日９：００～１８：００ 学校休業日９：００～１８：００,,粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、認知トレーニング／アナログゲーム療育／創作活動,○,,,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【放課後デイ】 療育: 粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、認知トレーニング/アナログゲーム療育/創作活動 個別療育あり 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
児童デイあったまぁる吉野,埼玉県さいたま市北区吉野町1-371-2,048-871-6531,放課後デイ,月～金 第2，4土,平日１３：３０～１７：３０ 土曜日１０：００～１６：００ 学校休業日１０：００～１６：００,,粗大運動、微細運動、言語指導、音楽/リトミック、日常動作、SST、ダンス／社会科学習／英語学習,,,,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【放課後デイ】 療育: 粗大運動、微細運動、言語指導、音楽/リトミック、日常動作、SST、ダンス/社会科学習/英語学習 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
