緯度,経度,住所,名称,サービス種別,費用,療育内容,電話番号
35.92384,139.586761,埼玉県さいたま市西区宮前町665-41 アーバンプラザ宮前町1階,ココアスキッズスポーツ西大宮,児童発達支援・放課後デイ,受給者証: 月上限4600円,,048-871-9695
35.910812,139.589386,埼玉県さいたま市西区三橋6-20-1,児童デイサービス楽しいわが家,児童発達支援・放課後デイ,受給者証: 月上限4600円,粗大運動、音楽/リトミック、学習支援、日常動作、ダンス／おやつ作り／創作活動,048-871-7441
35.920925,139.590118,埼玉県さいたま市西区三橋6-1587,放課後デイサービスみのり,放課後デイ,受給者証: 月上限4600円,音楽/リトミック,048-622-5544
35.914265,139.570038,埼玉県さいたま市西区指扇2335-6,児童デイサービスあやめ,放課後デイ,受給者証: 月上限4600円,粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、ハイキング,048-620-0111
35.919365,139.568954,埼玉県さいたま市西区指扇領別所261,放課後等デイサービスピース,放課後デイ,受給者証: 月上限4600円,粗大運動、微細運動、学習支援、日常動作、プログラミング／調理活動／農作業,048-622-2681
35.919586,139.568008,埼玉県さいたま市西区指扇領別所281,ピース２号,児童発達支援・放課後デイ,受給者証: 月上限4600円,微細運動、学習支援、日常動作、プログラミング／作業訓練,048-662-9551
35.916531,139.558228,埼玉県さいたま市西区西遊馬2180-1,とっとちゃん,児童発達支援・放課後デイ,受給者証: 月上限4600円,粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、ムーブメント／書道／陶芸,048-626-1909
35.890965,139.584839,埼玉県さいたま市西区中野林653-5,ゆめの園みらいず大宮　児童発達支援・放課後等デイサービス,児童発達支援・放課後デイ,受給者証: 月上限4600円,粗大運動、微細運動、音楽/リトミック、SST,048-626-1180
35.920513,139.564865,埼玉県さいたま市西区宝来2224-3 コンフォート都B1F,あすぽーと指扇,放課後デイ,受給者証: 月上限4600円,粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、認知トレーニング／アナログゲーム療育／創作活動,048-782-8089
35.9505,139.609726,埼玉県さいたま市北区吉野町1-371-2,児童デイあったまぁる吉野,放課後デイ,受給者証: 月上限4600円,粗大運動、微細運動、言語指導、音楽/リトミック、日常動作、SST、ダンス／社会科学習／英語学習,048-871-6531
35.938179,139.620728,埼玉県さいたま市北区宮原町1-673-3,BUTTERFLY　EFFECT,児童発達支援・放課後デイ,受給者証: 月上限4600円,粗大運動、微細運動、SST,048-788-4200
35.940125,139.612167,埼玉県さいたま市北区宮原町2-16-19 第二川人ビル2階西,いろは児童発達支援事業所,児童発達支援,受給者証: 月上限4600円,粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST,048-779-8297
35.941509,139.612564,埼玉県さいたま市北区宮原町2-19-1 加瀬ビル199 4階,LITALICOジュニアさいたま宮原教室,児童発達支援,受給者証: 月上限4600円,粗大運動、微細運動、言語指導、学習支援、日常動作、SST,048-661-8277
35.941254,139.611404,埼玉県さいたま市北区宮原町2-22-14 AXIS宮原駅前ビル3階B,ハビー宮原駅東口教室,児童発達支援・放課後デイ,受給者証: 月上限4600円,粗大運動、微細運動、音楽/リトミック、学習支援、日常動作、SST、創作活動／運動プログラム,048-776-9064
35.936615,139.612869,埼玉県さいたま市北区宮原町3-151 開明ロイヤルマンション101号,児童デイぽぷら,放課後デイ,受給者証: 月上限4600円,学習支援、日常動作、SST、公園での運動／室内動作活動,048-871-8601
35.94215,139.608475,埼玉県さいたま市北区宮原町3-475-3 チコラース10C,放課後等デイサービス　なないろ,放課後デイ,受給者証: 月上限4600円,粗大運動、微細運動、音楽/リトミック、学習支援、日常動作、SST、音楽療法／創作活動／調理活動,048-782-7151
35.93911,139.609299,埼玉県さいたま市北区宮原町3-571-1 第二島村ビル2階西,コペルプラス　宮原教室,児童発達支援,受給者証: 月上限4600円,粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、創作活動　※月末のみ,048-729-6916
35.947304,139.605698,埼玉県さいたま市北区宮原町4-99-5,ときめきスクールありがとう,放課後デイ,受給者証: 月上限4600円,音楽/リトミック、学習支援、日常動作、SST、外出活動,048-783-3484
35.918896,139.610046,埼玉県さいたま市北区櫛引町2-275 ウエノビル1F,放課後デイサービスあすみるくらぶ大宮,放課後デイ,受給者証: 月上限4600円,粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、ダンス／調理活動／創作活動,048-783-5426
35.925079,139.626205,埼玉県さいたま市北区植竹町1-330-2,ハッピーガーデン,児童発達支援・放課後デイ,受給者証: 月上限4600円,粗大運動、微細運動、言語指導、学習支援、日常動作、SST,048-782-4437
35.924133,139.615753,埼玉県さいたま市北区大成町4-125-1 ドゥエル石川1階,あすぽーと鉄道博物館,放課後デイ,受給者証: 月上限4600円,粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、認知トレーニング／アナログゲーム療育／創作活動,048-788-3953
35.935577,139.633072,埼玉県さいたま市北区土呂町1-70-12-103,BUTTERFLY　EFFECT　運動&SSTクラス,放課後デイ,受給者証: 月上限4600円,粗大運動、微細運動、日常動作、SST、運動療育／マイクラ／調理活動,048-788-4200
35.933945,139.634247,埼玉県さいたま市北区土呂町2-69-6,いっぽいっぽ土呂,放課後デイ,受給者証: 月上限4600円,粗大運動、微細運動、言語指導、音楽/リトミック、日常動作、SST、調理活動／工作／ダンス,048-782-8392
35.923576,139.622498,埼玉県さいたま市北区東大成町1-545-1 柳屋ビル1階,エブリン・ベア,児童発達支援・放課後デイ,受給者証: 月上限4600円,粗大運動、微細運動、音楽/リトミック、学習支援、日常動作、SST、サントレ,048-729-8645
35.921463,139.623245,埼玉県さいたま市北区東大成町1-591,エブリン・フラワー,児童発達支援,受給者証: 月上限4600円,粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、ワーク／創作活動／リトミック,048-778-9096
35.923809,139.599503,埼玉県さいたま市北区日進町1-508-9 サンシャインシティ102号室,放課後等デイサービスみらい,放課後デイ,受給者証: 月上限4600円,粗大運動、微細運動、音楽/リトミック、学習支援、日常動作、SST、ダンス／調理活動／創作活動,048-779-8877
35.923756,139.602722,埼玉県さいたま市北区日進町1-529-2 コーポ桔梗,まほうのくに,放課後デイ,受給者証: 月上限4600円,粗大運動、微細運動、音楽/リトミック、学習支援、日常動作、SST,048-658-9023
35.923859,139.604828,埼玉県さいたま市北区日進町1-564-1,ScatKids日進,放課後デイ,受給者証: 月上限4600円,粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、音楽／芸術創作／マインドフルネス,048-871-5825
35.929134,139.607559,埼玉県さいたま市北区日進町2-834-1 大畠日進ビル2階,ブロッサムジュニア　さいたま日進教室,児童発達支援・放課後デイ,受給者証: 月上限4600円,粗大運動、微細運動、音楽/リトミック、学習支援、日常動作、SST、調理j活動／外出、野外活動,048-657-8727
35.930878,139.605774,埼玉県さいたま市北区日進町2-1112 柳田ビル3階,どっぽ就労塾日進,放課後デイ,受給者証: 月上限4600円,日常動作、SST、就労訓練／社会人スキルやマナー／進路相談,048-788-2117
35.930878,139.605774,埼玉県さいたま市北区日進町2-1126-10 2階,Ｇｒｉｐキッズ大宮日進校,放課後デイ,受給者証: 月上限4600円,学習支援、日常動作、SST,048-778-9842
35.932877,139.608551,埼玉県さいたま市北区日進町2-1914-1,ハッピーキッズスペースみんと大宮日進,児童発達支援・放課後デイ,受給者証: 月上限4600円,粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、運動療育／創作・調理活動／外出,048-669-6177
35.938591,139.608139,埼玉県さいたま市北区日進町3-491 リエス宮原ウエスト101号室,あすぽーと宮原,放課後デイ,受給者証: 月上限4600円,粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、認知トレーニング／アナログゲーム療育／創作活動,048-783-3260
35.937946,139.628357,埼玉県さいたま市北区本郷町210,放課後等デイサービス　キラキラ本郷町,放課後デイ,受給者証: 月上限4600円,粗大運動、微細運動、音楽/リトミック、学習支援、日常動作、SST、調理活動／創作活動／外出活動,048-783-4015
35.940342,139.626099,埼玉県さいたま市北区本郷町396 2F,コペルプラスジュニア宮原・土呂教室,放課後デイ,受給者証: 月上限4600円,粗大運動、微細運動、学習支援、日常動作、SST、創作活動,048-662-9602
35.945782,139.62146,埼玉県さいたま市北区本郷町753 サンヴィレッジ本郷104号室,ゆめの園みらいず本郷　児童発達支援・放課後等デイサービス,児童発達支援・放課後デイ,受給者証: 月上限4600円,粗大運動、微細運動、日常動作、SST、外出活動／ダンス／創作活動,048-871-7610
35.898045,139.631699,埼玉県さいたま市大宮区吉敷町4-93-5 大宮教育会館1階,療育ポータルスタジオCoreMore新都心スタジオ,児童発達支援,受給者証: 月上限4600円,粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、創作活動,048-729-7737
35.898037,139.632538,埼玉県さいたま市大宮区吉敷町4-178,ぶらいと,児童発達支援,受給者証: 月上限4600円,粗大運動、微細運動、言語指導、日常動作、SST、アート活動,048-643-4161
35.916264,139.62738,埼玉県さいたま市大宮区高鼻町3-1-2,いっぽいっぽ大宮氷川台,放課後デイ,受給者証: 月上限4600円,粗大運動、微細運動、言語指導、日常動作、ダンス　／創作活動／日常動作,048-782-6042
35.903706,139.623108,埼玉県さいたま市大宮区桜木町1-175 KGビル3階,コペルプラス　大宮教室,児童発達支援,受給者証: 月上限4600円,粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、製作活動,048-778-8693
35.907726,139.620926,埼玉県さいたま市大宮区桜木町2-7-9 鍋島ビル1階101,ハビー大宮桜木町２丁目教室,児童発達支援・放課後デイ,受給者証: 月上限4600円,粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、創作活動／レクリエーション／季節のイベント,048-788-4075
35.908134,139.620728,埼玉県さいたま市大宮区桜木町2-8-2 第2金子ビル5階,LITALICOジュニア大宮教室,児童発達支援・放課後デイ,受給者証: 月上限4600円,粗大運動、微細運動、言語指導、学習支援、日常動作、SST,048-658-2555
35.907604,139.619003,埼玉県さいたま市大宮区桜木町2-335-1 レインボー大宮ビル5階,ハビー大宮大栄橋教室,児童発達支援,受給者証: 月上限4600円,粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、就学準備／感覚統合,048-871-6624
35.912041,139.618988,埼玉県さいたま市大宮区桜木町3-91,プティ倶楽部　大宮,放課後デイ,受給者証: 月上限4600円,粗大運動、微細運動、音楽/リトミック、学習支援、日常動作、SST、課外活動(畑・公園・植物館等)／調理活動(おやつ作り等)／創作活動(ダンス・壁画制作・科学活動等),048-677-3917
35.905914,139.616577,埼玉県さいたま市大宮区桜木町4-202 桜木町橋本ビル2階,ハビー大宮桜木町４丁目教室,放課後デイ,受給者証: 月上限4600円,粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、創作活動／レクリエーション／季節のイベント,048-788-2402
35.895443,139.618958,埼玉県さいたま市大宮区桜木町4-528,まはろ　桜木町,放課後デイ,受給者証: 月上限4600円,粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、音楽療法／ダンス／工作,048-783-4038
35.907162,139.601608,埼玉県さいたま市大宮区三橋1-1199 オフィスDUO B-室,コペルプラス　大宮三橋教室,児童発達支援,受給者証: 月上限4600円,粗大運動、微細運動、言語指導、音楽/リトミック、日常動作、SST,048-783-4649
35.900242,139.614609,埼玉県さいたま市大宮区上小町787-6,児童デイえがお大宮,児童発達支援・放課後デイ,受給者証: 月上限4600円,粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、公園活動／調理活動／創作活動,048-783-4621
35.891731,139.645218,埼玉県さいたま市大宮区北袋町2-400-2 町田ビル3 2F,児童デイサービスあさひ丸新都心,児童発達支援・放課後デイ,受給者証: 月上限4600円,粗大運動、微細運動、言語指導、日常動作、ダンス　／体幹運動／集団遊び,048-788-4052
35.907883,139.668289,埼玉県さいたま市見沼区御蔵771-12,たんぽぽ療育東教室,児童発達支援・放課後デイ,受給者証: 月上限4600円,粗大運動、微細運動、音楽/リトミック、学習支援、日常動作、SST、畑体験,048-872-7808
