緯度,経度,住所,名称,カテゴリ,対象年齢,診療内容,電話番号
35.872421,139.647339,埼玉県さいたま市浦和区北浦和１－１－７　北原ビル２階、５階,かせ心のクリニック ［精神科］ ［心療内科］,クリニック（精神科・心療内科）,18歳以上,診断・知能検査・投薬・親カウンセリング,０４８－８１３－０７０７
35.871418,139.645538,埼玉県さいたま市浦和区北浦和４－２－５　サクラレジデンス北浦和２Ｆ,言の葉こころクリニック ［精神科］ ［心療内科］ ［児童精神科］,クリニック（児童精神科）,小学生・中学生・高校生・18歳以上,診断・心理療法・投薬,０４８－７１１－２０８１
35.871815,139.64476,埼玉県さいたま市浦和区北浦和４－３－１０　若松家ビル３F,イサオクリニック ［精神科］,クリニック（精神科・心療内科）,高校生・18歳以上,診断・知能検査・投薬・デイケア,０４８－８３４－０１７７
35.858921,139.653809,埼玉県さいたま市浦和区高砂２－１２－１２　あづまビル３Ｆ,松田メンタルクリニック ［精神科］ ［心療内科］ ［内科］,クリニック（精神科・心療内科）,高校生・18歳以上,診断・心理療法・投薬,０４８－８２３－９３３１
35.857067,139.652328,埼玉県さいたま市浦和区高砂３－２－１０　草野高砂ビル６Ｆ,メンタルヘルス田井クリニック ［精神科］,クリニック（精神科・心療内科）,18歳以上,診断,０４８－８１６－５５２１
35.859356,139.658737,埼玉県さいたま市浦和区東仲町２５－２９　太陽堂ビル３階,謙愛クリニック ［精神科］ ［心療内科］,クリニック（精神科・心療内科）,,診断・投薬,０４８－８１１－１２２０
35.886269,139.642975,埼玉県さいたま市浦和区上木崎４－２－２５,白峰クリニック ［精神科］ ［心療内科］,クリニック（精神科・心療内科）,高校生・18歳以上,診断・知能検査・作業療法・心理療法・投薬・親カウンセリング・デイケア,０４８－８３１－００１２
35.859856,139.655594,埼玉県さいたま市浦和区仲町１－２－１２　関根ビル４Ｆ,坂井メンタルクリニック ［精神科］ ［心療内科］,クリニック（精神科・心療内科）,18歳以上,診断・投薬,０４８－８２４－７３０２
35.857727,139.658783,埼玉県さいたま市浦和区東高砂町９－１ SUMIDA ONE 本館３Ｆ,小原クリニック ［精神科］,クリニック（精神科・心療内科）,高校生・18歳以上,診断・知能検査・心理療法・投薬・親カウンセリング,０４８－８８３－５８６０
35.858658,139.655136,埼玉県さいたま市浦和区高砂１－１３－２　ヤママンビル３階,小川クリニック ［心療内科］,クリニック（精神科・心療内科）,18歳以上,診断・心理療法・投薬,０４８－８３４－５５２５
35.906654,139.627472,埼玉県さいたま市大宮区大門町２丁目９４　福呂屋ビル４階,すなおクリニック ［精神科］ ［心療内科］ ［内科］,クリニック（精神科・心療内科）,高校生・18歳以上,診断・知能検査・心理療法・投薬,０４８－７８３－５６０７
35.909988,139.62941,埼玉県さいたま市大宮区高鼻町１－３１－１　ＴＯＰＳ大宮ビル６Ｆ,渡辺メンタルクリニック ［精神科］,クリニック（精神科・心療内科）,18歳以上,診断・知能検査・心理療法・投薬・親カウンセリング,０４８－６４７－２３７２
35.895111,139.63324,埼玉県さいたま市大宮区吉敷町４－２６２－１０　松井ビル５階,ふせき心療クリニック ［精神科］ ［心療内科］ ［児童精神科］,クリニック（児童精神科）,小学生・中学生・高校生・18歳以上,診断・知能検査・心理療法・投薬・親カウンセリング,０４８－６５０－１１１７
35.903652,139.622116,埼玉県さいたま市大宮区桜木町１－１９７　蓜島ビル４F,大宮駅前ひるまこころクリニック ［精神科］ ［心療内科］,クリニック（精神科・心療内科）,高校生・18歳以上,診断・知能検査・投薬・デイケア,０４８－７８８－３７５７
35.904213,139.622955,埼玉県さいたま市大宮区桜木町１－１９３－１　大宮ＹＯＫＯビル５Ｆ,大宮こころの診療所 ［精神科］ ［心療内科］,クリニック（精神科・心療内科）,高校生・18歳以上,診断・知能検査・心理療法・投薬・親カウンセリング,０４８－６４１－０２２２
35.906071,139.621536,埼玉県さいたま市大宮区桜木町２－２－１３　第２ユニオンビルディング４階,大宮西口メンタルクリニック ［精神科］ ［心療内科］ ［神経科］,クリニック（精神科・心療内科）,小学生・中学生・高校生・18歳以上,診断・投薬,０４８－６３１－１０６０
35.908134,139.620728,埼玉県さいたま市大宮区桜木町２－８－４　山下ビル３Ｆ,大宮さくらクリニック ［精神科］,クリニック（精神科・心療内科）,18歳以上,診断・知能検査・心理療法・投薬,０４８－８５６－９２７８
35.906788,139.626007,埼玉県さいたま市大宮区大門町１－１８－２　ライズＢＬＤ３階,ハレこころのクリニック大宮 ［心療内科］ ［精神科］,クリニック（精神科・心療内科）,中学生・高校生・18歳以上,診断・知能検査・心理療法・投薬・親カウンセリング,０４８－８５６－９８２３
35.905598,139.627747,埼玉県さいたま市大宮区仲町２－２３－３　大宮仲町センタービル１Ｆ,児玉クリニック ［心療内科］ ［精神科］,クリニック（精神科・心療内科）,高校生・18歳以上,診断,０４８－７８３－３３０２
