名称,住所,区,種別,設置区分,定員,電話番号
岸町保育園,埼玉県さいたま市浦和区岸町6-5-12,浦和区,認可保育所,公立,150,048-822-3010
本太保育園,埼玉県さいたま市浦和区本太4-3-15,浦和区,認可保育所,公立,140,048-882-3561
領家保育園,埼玉県さいたま市浦和区領家7-14-16,浦和区,認可保育所,公立,110,048-831-4378
駒場保育園,埼玉県さいたま市浦和区駒場1-27-7,浦和区,認可保育所,公立,110,048-886-9200
大久保保育園,埼玉県さいたま市桜区大久保領家373-1,桜区,認可保育所,公立,110,048-854-8818
浦和中央保育園,埼玉県さいたま市浦和区仲町2-13-7,浦和区,認可保育所,公立,95,048-822-2067
南浦和保育園,埼玉県さいたま市南区根岸2-19-3,南区,認可保育所,公立,110,048-861-6954
田島保育園,埼玉県さいたま市桜区田島2-16-7,桜区,認可保育所,公立,190,048-862-3425
尾間木保育園,埼玉県さいたま市緑区中尾1432-5,緑区,認可保育所,公立,110,048-873-1103
原山保育園,埼玉県さいたま市緑区原山1-7-2,緑区,認可保育所,公立,90,048-885-7403
常盤保育園,埼玉県さいたま市浦和区常盤9-3-16,浦和区,認可保育所,公立,70,048-833-8730
常盤北保育園,埼玉県さいたま市浦和区針ヶ谷4-1-1,浦和区,認可保育所,公立,120,048-833-8728
文蔵保育園,埼玉県さいたま市南区文蔵3-7-14,南区,認可保育所,公立,110,048-863-1037
白幡保育園,埼玉県さいたま市南区白幡3-1-2,南区,認可保育所,公立,140,048-863-8105
大谷場保育園,埼玉県さいたま市南区南浦和3-36-11,南区,認可保育所,公立,110,048-885-8992
白鍬保育園,埼玉県さいたま市桜区白鍬511,桜区,認可保育所,公立,90,048-854-5539
東仲町保育園,埼玉県さいたま市浦和区東仲町28-16,浦和区,認可保育所,公立,80,048-885-9101
辻保育園,埼玉県さいたま市南区辻3-10-15,南区,認可保育所,公立,135,048-864-3385
曲本保育園,埼玉県さいたま市南区曲本4-5-7,南区,認可保育所,公立,130,048-864-3384
大谷口保育園,埼玉県さいたま市南区大谷口1089-1,南区,認可保育所,公立,130,048-887-4989
大東保育園,埼玉県さいたま市浦和区大東2-18-7,浦和区,認可保育所,公立,130,048-887-6168
三室保育園,埼玉県さいたま市緑区三室1629-6,緑区,認可保育所,公立,140,048-873-7877
西堀保育園,埼玉県さいたま市桜区桜田3-9-12,桜区,認可保育所,公立,120,048-865-0271
針ヶ谷保育園,埼玉県さいたま市浦和区針ヶ谷1-4-3,浦和区,認可保育所,公立,135,048-824-3746
上大久保保育園,埼玉県さいたま市桜区上大久保940-3,桜区,認可保育所,公立,130,048-855-4801
武蔵浦和保育園,埼玉県さいたま市南区鹿手袋4-1-12,南区,認可保育所,公立,165,048-837-3411
大宮保育園,埼玉県さいたま市大宮区吉敷町1-132-3,大宮区,認可保育所,公立,100,048-641-1497
桜木保育園,"埼玉県さいたま市大宮区桜木町1-185-2
のびのびプラザ大宮4F",大宮区,認可保育所,公立,165,048-641-1229
日進保育園,埼玉県さいたま市北区日進町2-632,北区,認可保育所,公立,90,048-663-2791
東大成保育園,埼玉県さいたま市北区東大成町2-103,北区,認可保育所,公立,100,048-664-6582
宮原保育園,埼玉県さいたま市北区宮原町2-83-2,北区,認可保育所,公立,90,048-663-4120
大砂土保育園,埼玉県さいたま市北区土呂町1-51-8,北区,認可保育所,公立,100,048-663-7233
三橋保育園,埼玉県さいたま市大宮区三橋2-929,大宮区,認可保育所,公立,100,048-643-3145
天沼保育園,埼玉県さいたま市大宮区天沼町2-438-1,大宮区,認可保育所,公立,80,048-642-4240
大和田保育園,埼玉県さいたま市見沼区大和田町1-1230-92,見沼区,認可保育所,公立,80,048-683-2536
日進西保育園,埼玉県さいたま市北区日進町1-800-1,北区,認可保育所,公立,80,048-663-0063
上小保育園,埼玉県さいたま市大宮区上小町845-4,大宮区,認可保育所,公立,90,048-643-4436
七里保育園,埼玉県さいたま市見沼区大谷1985,見沼区,認可保育所,公立,100,048-685-2717
大成保育園,埼玉県さいたま市大宮区大成町3-655-1,大宮区,認可保育所,公立,100,048-667-2559
片柳保育園,埼玉県さいたま市見沼区御蔵796,見沼区,認可保育所,公立,80,048-685-4611
植水保育園,埼玉県さいたま市西区佐知川306,西区,認可保育所,公立,100,048-623-6698
東大宮保育園,埼玉県さいたま市見沼区丸ヶ崎町13-13,見沼区,認可保育所,公立,106,048-685-0601
寿能保育園,埼玉県さいたま市大宮区寿能町2-140,大宮区,認可保育所,公立,100,048-644-0470
