緯度,経度,名称,住所,区,種別,電話番号,定員,保育時間,対象
35.88750101,139.5958357,明日香保育園,埼玉県さいたま市西区植田谷本316,西区,認可保育所,048-622-5586,110,7:30～19:30,57日～5歳
35.93312842,139.5951411,まみ保育園,埼玉県さいたま市西区内野本郷383-8,西区,認可保育所,048-673-0330,50,7:00～19:00,6か月～5歳
35.92667664,139.5678942,おうぎの森保育園,埼玉県さいたま市西区高木598,西区,認可保育所,048-625-7272,110,7:00～19:30,57日～5歳
35.92411086,139.5854195,あおぞら西保育園,埼玉県さいたま市西区宮前町695-2,西区,認可保育所,048-783-3755,90,7:30～19:30,6か月～5歳
35.90920351,139.5682417,西遊馬保育園,埼玉県さいたま市西区西遊馬771-11,西区,認可保育所,048-620-7879,90,7:15～19:15,57日～5歳
35.91414359,139.5927369,未来ほしの子保育園,埼玉県さいたま市西区三橋5-35,西区,認可保育所,048-625-2222,120,7:00～19:00,57日～5歳
35.92296101,139.5804131,西大宮どんぐり保育園,埼玉県さいたま市西区西大宮1-1-3,西区,認可保育所,048-783-3361,90,7:10～19:10,57日～5歳
35.91064025,139.5933527,野の花すみれ保育園,埼玉県さいたま市西区三橋5-641-3,西区,認可保育所,048-782-4386,40,7:00～19:00,120日～2歳
35.92816252,139.5804273,西大宮青藍保育園,埼玉県さいたま市西区西大宮3-25-5,西区,認可保育所,048-729-6726,80,7:00～19:00,57日～5歳
35.92390183,139.5726575,めいあい保育園,埼玉県さいたま市西区西大宮1-46-12,西区,認可保育所,048-729-7833,100,7:30～19:30,57日～5歳
35.93184294,139.5826109,アカツキ保育園,埼玉県さいたま市西区西大宮4-1-4,西区,認可保育所,048-657-8148,70,7:30～19:30,6か月～5歳
35.91696028,139.5914167,えがお三橋保育園,埼玉県さいたま市西区三橋6-654-2,西区,認可保育所,048-783-2480,100,7:00～19:00,6か月～5歳
35.92585173,139.5959558,くれよん保育園虹,埼玉県さいたま市西区宮前町1238,西区,認可保育所,048-778-9752,71,7:30～19:00,43日～5歳
35.92462,139.57668,西大宮はばたき保育園,埼玉県さいたま市西区西大宮3-9-3,西区,認可保育所,048-621-4350,80,7:00～19:00,57日～5歳
35.92671,139.58029,明日香西大宮保育園,埼玉県さいたま市西区西大宮3-19-6,西区,認可保育所,048-729-8456,60,7:30～19:30,57日～5歳
35.93085,139.58069,西大宮まりーな保育園,埼玉県さいたま市西区西大宮3-61-7,西区,認可保育所,048-621-3050,96,7:00～19:00,6か月～5歳
35.91521871,139.5803867,指扇はっぴー保育園,埼玉県さいたま市西区指扇1379-1,西区,認可保育所,048-623-0881,80,7:30～19:00,6か月～5歳
35.917522,139.561546,リトル百音保育園,埼玉県さいたま市西区宝来2196-8,西区,認可保育所,048-620-3351,75,7:30～19:30,57日～5歳
35.92451,139.576868,西大宮はっぴー保育園,埼玉県さいたま市西区西大宮3-9-2,西区,認可保育所,048-622-1881,80,7:30～19:00,6か月～5歳
35.926009,139.575232,保育園ハニーガーデン西大宮,埼玉県さいたま市西区西大宮2-2-2,西区,認可保育所,048-620-3232,90,7:30～19:00,57日～5歳
35.91516,139.584767,大宮三橋はばたき保育園,埼玉県さいたま市西区三橋6-1239-1,西区,認可保育所,048-658-9317,60,7:00～19:00,57日～5歳
35.93065784,139.6292724,ルアナ保育園土呂,埼玉県さいたま市北区土呂町1-9-1,北区,認可保育所,048-652-7700,77,7:00～19:00,57日～5歳
35.9579,139.59341,大宮さくら保育園,埼玉県さいたま市北区別所町98-6,北区,認可保育所,048-664-5054,60,7:30～19:30,1歳～5歳
35.94321,139.63049,本郷保育園,埼玉県さいたま市北区本郷町1328-1,北区,認可保育所,048-652-3440,110,7:00～19:30,57日～5歳
35.93042648,139.6329192,大宮つぼみ保育園,埼玉県さいたま市北区土呂町2-9-19,北区,認可保育所,048-668-5203,60,7:00～19:00,43日～5歳
