緯度,経度,名称,住所,区,種別,電話番号
35.92323,139.572744,指扇風の子,埼玉県さいたま市西区西大宮1-47-1-1F,西区,(民設）放課後児童クラブ,048-623-1030
35.921934,139.5729796,指扇にじのこ,埼玉県さいたま市西区西大宮1-49-9,西区,(民設）放課後児童クラブ,048-625-1231
35.92323,139.572744,指扇そらの子,埼玉県さいたま市西区西大宮1-47-1-2F,西区,(民設）放課後児童クラブ,048-622-0133
35.92156401,139.5726628,指扇星の子,埼玉県さいたま市西区西大宮1-52-49,西区,(民設）放課後児童クラブ,048-871-7567
35.937334,139.572058,指扇北のびのび,埼玉県さいたま市西区中釘1691,西区,(民設）放課後児童クラブ,048-623-8550
35.9322629,139.5720649,指扇北すくすく,埼玉県さいたま市西区中釘1538-1,西区,(民設）放課後児童クラブ,048-626-2979
35.92793,139.58007,指扇北きらきら,埼玉県さいたま市西区西大宮3-26-1 1階,西区,(民設）放課後児童クラブ,048-788-1108
35.92793,139.58007,指扇北にこにこ,埼玉県さいたま市西区西大宮3-26-1 2階,西区,(民設）放課後児童クラブ,048-788-1806
35.93325201,139.5713391,指扇北ふわふわ,埼玉県さいたま市西区大字中釘1506-4,西区,(民設）放課後児童クラブ,080-9680-6821
35.93325201,139.5713391,指扇北ぽかぽか,埼玉県さいたま市西区大字中釘1506-4,西区,(民設）放課後児童クラブ,080-9680-6821
35.904956,139.568119,さくらそうわかば,埼玉県さいたま市西区西遊馬583－1,西区,(民設）放課後児童クラブ,048-622-5451
35.905503,139.583374,さくらそうふたば,埼玉県さいたま市西区佐知川809-2,西区,(民設）放課後児童クラブ,048-871-8008
35.9012301,139.5846586,大宮西児童クラブ,埼玉県さいたま市西区佐知川1112,西区,(民設）放課後児童クラブ,048-623-3831
35.913045,139.585799,キッズクラブおおみや西あおぞら,埼玉県さいたま市西区三橋6-382-1,西区,(民設）放課後児童クラブ,048-788-4889
35.913045,139.585799,キッズクラブおおみや西つばさ,埼玉県さいたま市西区三橋6-382-1,西区,(民設）放課後児童クラブ,048-788-4889
35.885839,139.559936,キッズクラブまみや西,埼玉県さいたま市西区飯田新田189-2 馬宮西小学校内,西区,(民設）放課後児童クラブ,048-778-9577
35.9223309,139.5962236,かたつむり学童クラブ宮前,埼玉県さいたま市北区日進町1-190-5,北区,(民設）放課後児童クラブ,048-877-4057
35.921971,139.596662,かたつむり学童クラブ宮前Ⅱ,埼玉県さいたま市北区日進町1-190-39ビューパレ大宮1階,北区,(民設）放課後児童クラブ,048-637-0948
