名称,住所,カテゴリ,対象,費用目安,説明
one step アカデミア,埼玉県さいたま市中央区上落合2-5-35 八幡ビル2F,発達障害・グレーゾーン専門,小学生〜高校生,月2〜4万円程度,発達障害/グレーゾーン専門。講師:生徒=1:4少人数、マンツーマンコースあり。【費用】月2〜4万円程度（コースにより異なる）
ソーシャルブレインズ 浦和西口教室,埼玉県さいたま市浦和区高砂3-10-3 八千代ビル3F,放課後デイ（学習支援型）,小学生〜高校生,月上限4600円（受給者証）,放課後等デイサービス。体幹・脳幹トレーニング+SST+個別学習支援。TEL:048-767-3142【費用】受給者証利用で月額上限4600円
ソーシャルブレインズ 上木崎教室,埼玉県さいたま市浦和区上木崎4-9-11 横田ビル2F,放課後デイ（学習支援型）,小学生〜高校生,月上限4600円（受給者証）,放課後等デイサービス。体幹・脳幹トレーニング+SST+個別学習支援。TEL:048-711-3019【費用】受給者証利用で月額上限4600円
ソーシャルブレインズ 大宮東口教室,埼玉県さいたま市大宮区東町1-32-2 セレクト大宮東町ビル3F,放課後デイ（学習支援型）,小学生〜高校生,月上限4600円（受給者証）,放課後等デイサービス。体幹・脳幹トレーニング+SST+個別学習支援。【費用】受給者証利用で月額上限4600円
あすぽーと 東大宮教室,埼玉県さいたま市見沼区東大宮5-34-2,放課後デイ（学習支援型）,小学生〜高校生,月上限4600円（受給者証）,学習塾ノウハウを活かした放課後等デイ。SST+宿題/補習/受験指導。TEL:048-797-6066【費用】受給者証利用で月額上限4600円
あすぽーと 鉄道博物館教室,埼玉県さいたま市北区大成町4-125-1 ドゥエル石川1階,放課後デイ（学習支援型）,小学生〜高校生,月上限4600円（受給者証）,学習塾ノウハウを活かした放課後等デイ。SST+宿題/補習/受験指導。TEL:048-788-3953【費用】受給者証利用で月額上限4600円
芝原塾,埼玉県さいたま市緑区芝原3-2-6-2F,地域密着型 個別指導,小学生〜高校生,月1〜3万円程度,完全個別指導。学校授業フォロー・補習対応。「できた!」を重視する指導。【費用】月1〜3万円程度（学年・コマ数により異なる）
個別学習塾ひより,埼玉県さいたま市大宮区北袋町2-496-4-101,地域密着型 個別指導,小学生〜高校生,月1〜3万円程度,個別カリキュラム。理解度に応じた難易度調整。低学年は学童代わりにも可。【費用】月1〜3万円程度（要問合せ）
高進塾,埼玉県さいたま市北区（宮原駅付近）,地域密着型 個別指導,小学生〜高校生,月1〜3万円程度,自立学習+個別計画。学校授業フォロー。土日も指導。【費用】月1〜3万円程度（要問合せ）
自立学習RED 大宮教室,埼玉県さいたま市大宮区桜木町2-8-4 山下ビル3F,大手チェーン,小学4年生〜高校生,月4900円〜,正社員講師+AIタブレット。予習型で学校授業対応。【費用】月4900円〜（週1回・小学生）。低料金が特徴
自立学習RED 浦和教室,埼玉県さいたま市浦和区高砂3-6-18 けやきビル5F,大手チェーン,小学4年生〜高校生,月4900円〜,正社員講師+AIタブレット。予習型で学校授業対応。【費用】月4900円〜（週1回・小学生）。低料金が特徴
森塾 大宮西口校,埼玉県さいたま市大宮区桜木町（大宮駅徒歩4分）,大手チェーン,小学3年生〜高校生,月5400円〜,先生1人に生徒2人まで。成績保証制度あり。【費用】月5400円〜（週1回・小学生）。中学生は月10800円〜
森塾 南浦和校,埼玉県さいたま市南区南浦和（南浦和駅近く）,大手チェーン,小学3年生〜高校生,月5400円〜,先生1人に生徒2人まで。成績保証制度あり。【費用】月5400円〜（週1回・小学生）
個別教室のトライ 北浦和駅前校,埼玉県さいたま市浦和区（北浦和駅近く）,大手チェーン,小学生〜高校生,月2〜4万円程度,完全マンツーマン指導。学校フォロー/定期テスト対策コースあり。【費用】月2〜4万円程度（学年・回数による）
個別教室のトライ 大宮駅前校,埼玉県さいたま市大宮区桜木町4-252 ユニオンビルディング3F,大手チェーン,小学生〜高校生,月2〜4万円程度,完全マンツーマン指導。学校フォロー/定期テスト対策コースあり。【費用】月2〜4万円程度（学年・回数による）
東京個別指導学院 浦和教室,埼玉県さいたま市浦和区高砂2-1-1 明治安田生命浦和ビル4F,大手チェーン,小学生〜高校生,月2〜4万円程度,担当講師制。1対1/1対2選択可。学校別テスト対策。振替自由。【費用】月2〜4万円程度（学年・回数による）
スクールIE さいたま市内各校,埼玉県さいたま市内複数教室（浦和・大宮・北浦和など）,大手チェーン,小学生〜高校生,月1.5〜3.5万円程度,性格診断に基づく個別指導。学校授業補習〜受験対策。【費用】月1.5〜3.5万円程度（学年・回数による）
