名称,住所,区,カテゴリ,対象学年,費用目安
SAPIX小学部 大宮校,埼玉県さいたま市大宮区桜木町1-271,大宮区,中学受験,小学生,月約4万〜6万円
SAPIX小学部 南浦和校,埼玉県さいたま市南区南本町2-11-17,南区,中学受験,小学生,月約4万〜6万円
日能研 大宮校,埼玉県さいたま市大宮区桜木町1-4-1 吉田ビル3・4F,大宮区,中学受験,小学生,月約2万〜4万円
日能研 南浦和校,埼玉県さいたま市南区南浦和2-38-5,南区,中学受験,小学生,月約2万〜4万円
早稲田アカデミー 大宮校,埼玉県さいたま市大宮区桜木町2-3 イオンスタイル大宮西口駅前7F,大宮区,中学受験,小学生/中学生,月約3万〜5万円
四谷大塚 大宮校舎,埼玉県さいたま市大宮区錦町682-1 JR大宮西口ビル4F,大宮区,中学受験,小学生,月約3万〜5万円
四谷大塚 南浦和校舎,埼玉県さいたま市南区南浦和2-41-3,南区,中学受験,小学生,月約3万〜5万円
栄光ゼミナール 大宮校,埼玉県さいたま市大宮区桜木町2-4-1 DOMパートIII 4F,大宮区,中学受験,小学生/中学生,月約2万〜4万円
栄光ゼミナール 浦和校,埼玉県さいたま市浦和区高砂2-9-1,浦和区,中学受験,小学生/中学生,月約2万〜4万円
栄光ゼミナール 南浦和校,埼玉県さいたま市南区南本町1-3-3,南区,中学受験,小学生/中学生,月約2万〜4万円
栄光ゼミナール 武蔵浦和校,埼玉県さいたま市南区別所7-16-14 2F,南区,中学受験,小学生/中学生,月約2万〜4万円
栄光ゼミナール 土呂校,埼玉県さいたま市北区土呂町1-6-3 アルカータ壽1F,北区,中学受験,小学生/中学生,月約2万〜4万円
グノーブル 南浦和校,埼玉県さいたま市南区南浦和2-38-21 第一昭栄ビル,南区,中学受験,小学生,月約4万〜6万円
臨海セミナー 大宮校,埼玉県さいたま市大宮区桜木町2-8-2 第2金子ビル4F,大宮区,高校受験,小学生/中学生,月約1万〜3万円
臨海セミナー 北浦和校,埼玉県さいたま市浦和区北浦和4-3-1 三飯ビル4F401号室,浦和区,高校受験,小学生/中学生,月約1万〜3万円
臨海セミナー 南浦和校,埼玉県さいたま市南区南本町1-16-5 サンシティビル5F,南区,高校受験,小学生/中学生,月約1万〜3万円
臨海セミナー 武蔵浦和校,埼玉県さいたま市南区沼影1-29-4 信興ビル102号室,南区,高校受験,小学生/中学生,月約1万〜3万円
臨海セミナー 東浦和校,埼玉県さいたま市緑区東浦和5-11-3 熊木ビル3F,緑区,高校受験,小学生/中学生,月約1万〜3万円
臨海セミナー 与野本町校,埼玉県さいたま市中央区本町東2-4-8 ロータリービル2F,中央区,高校受験,小学生/中学生,月約1万〜3万円
湘南ゼミナール 与野教室,埼玉県さいたま市浦和区上木崎1-10-1 グランデュオ北街区1F,浦和区,高校受験,小学生/中学生,月約1万〜3万円
湘南ゼミナール 浦和教室,埼玉県さいたま市浦和区仲町1-14-6 ドミール浦和1F,浦和区,高校受験,小学生/中学生,月約1万〜3万円
湘南ゼミナール 日進教室,埼玉県さいたま市北区日進町2-834-1 大畠日進ビル1F,北区,高校受験,小学生/中学生,月約1万〜3万円
湘南ゼミナール 東浦和教室,埼玉県さいたま市緑区東浦和7-48-12 ガリレオビル4F,緑区,高校受験,小学生/中学生,月約1万〜3万円
湘南ゼミナール 南浦和西口教室,埼玉県さいたま市南区南浦和2-41-5 メゾン大東ビル1F,南区,高校受験,小学生/中学生,月約1万〜3万円
湘南ゼミナール 浦和道祖土教室,埼玉県さいたま市浦和区大東3-40-10,浦和区,高校受験,小学生/中学生,月約1万〜3万円
スクール21 さいたま本部教室,埼玉県さいたま市中央区上落合1-9-2,中央区,高校受験,小学生/中学生,月約2万〜4万円
スクール21 大宮本部教室,埼玉県さいたま市大宮区桜木町1-160,大宮区,高校受験,小学生/中学生,月約2万〜4万円
スクール21 大宮東口教室,埼玉県さいたま市大宮区東町1-32-2,大宮区,高校受験,小学生/中学生,月約2万〜4万円
スクール21 北浦和教室,埼玉県さいたま市浦和区常盤9-19-9,浦和区,高校受験,小学生/中学生,月約2万〜4万円
スクール21 浦和教室,埼玉県さいたま市浦和区高砂2-2-17 浦和県庁通りビル3F〜4F,浦和区,高校受験,小学生/中学生,月約2万〜4万円
