緯度,経度,名称,住所,区,カテゴリ,対象学年,費用目安
35.902504,139.624161,SAPIX小学部 大宮校,埼玉県さいたま市大宮区桜木町1-271,大宮区,中学受験,小学生,月約4万〜6万円
35.847279,139.667221,SAPIX小学部 南浦和校,埼玉県さいたま市南区南本町2-11-17,南区,中学受験,小学生,月約4万〜6万円
35.904591,139.623001,日能研 大宮校,埼玉県さいたま市大宮区桜木町1-4-1 吉田ビル3・4F,大宮区,中学受験,小学生,月約2万〜4万円
35.847206,139.670364,日能研 南浦和校,埼玉県さいたま市南区南浦和2-38-5,南区,中学受験,小学生,月約2万〜4万円
35.90699,139.621796,早稲田アカデミー 大宮校,埼玉県さいたま市大宮区桜木町2-3 イオンスタイル大宮西口駅前7F,大宮区,中学受験,小学生/中学生,月約3万〜5万円
35.904289,139.624069,四谷大塚 大宮校舎,埼玉県さいたま市大宮区錦町682-1 JR大宮西口ビル4F,大宮区,中学受験,小学生,月約3万〜5万円
35.848824,139.671997,四谷大塚 南浦和校舎,埼玉県さいたま市南区南浦和2-41-3,南区,中学受験,小学生,月約3万〜5万円
35.906113,139.621048,栄光ゼミナール 大宮校,埼玉県さいたま市大宮区桜木町2-4-1 DOMパートIII 4F,大宮区,中学受験,小学生/中学生,月約2万〜4万円
35.858044,139.653824,栄光ゼミナール 浦和校,埼玉県さいたま市浦和区高砂2-9-1,浦和区,中学受験,小学生/中学生,月約2万〜4万円
35.846027,139.670258,栄光ゼミナール 南浦和校,埼玉県さいたま市南区南本町1-3-3,南区,中学受験,小学生/中学生,月約2万〜4万円
35.846161,139.644577,栄光ゼミナール 武蔵浦和校,埼玉県さいたま市南区別所7-16-14 2F,南区,中学受験,小学生/中学生,月約2万〜4万円
35.930931,139.631149,栄光ゼミナール 土呂校,埼玉県さいたま市北区土呂町1-6-3 アルカータ壽1F,北区,中学受験,小学生/中学生,月約2万〜4万円
35.84684,139.670303,グノーブル 南浦和校,埼玉県さいたま市南区南浦和2-38-21 第一昭栄ビル,南区,中学受験,小学生,月約4万〜6万円
35.908134,139.620728,臨海セミナー 大宮校,埼玉県さいたま市大宮区桜木町2-8-2 第2金子ビル4F,大宮区,高校受験,小学生/中学生,月約1万〜3万円
35.871273,139.644638,臨海セミナー 北浦和校,埼玉県さいたま市浦和区北浦和4-3-1 三飯ビル4F401号室,浦和区,高校受験,小学生/中学生,月約1万〜3万円
35.845425,139.666428,臨海セミナー 南浦和校,埼玉県さいたま市南区南本町1-16-5 サンシティビル5F,南区,高校受験,小学生/中学生,月約1万〜3万円
35.842552,139.641602,臨海セミナー 武蔵浦和校,埼玉県さいたま市南区沼影1-29-4 信興ビル102号室,南区,高校受験,小学生/中学生,月約1万〜3万円
35.865807,139.704422,臨海セミナー 東浦和校,埼玉県さいたま市緑区東浦和5-11-3 熊木ビル3F,緑区,高校受験,小学生/中学生,月約1万〜3万円
35.881023,139.625443,臨海セミナー 与野本町校,埼玉県さいたま市中央区本町東2-4-8 ロータリービル2F,中央区,高校受験,小学生/中学生,月約1万〜3万円
35.884644,139.638184,湘南ゼミナール 与野教室,埼玉県さいたま市浦和区上木崎1-10-1 グランデュオ北街区1F,浦和区,高校受験,小学生/中学生,月約1万〜3万円
35.861305,139.653244,湘南ゼミナール 浦和教室,埼玉県さいたま市浦和区仲町1-14-6 ドミール浦和1F,浦和区,高校受験,小学生/中学生,月約1万〜3万円
35.929134,139.607559,湘南ゼミナール 日進教室,埼玉県さいたま市北区日進町2-834-1 大畠日進ビル1F,北区,高校受験,小学生/中学生,月約1万〜3万円
35.871868,139.699905,湘南ゼミナール 東浦和教室,埼玉県さいたま市緑区東浦和7-48-12 ガリレオビル4F,緑区,高校受験,小学生/中学生,月約1万〜3万円
35.848988,139.672272,湘南ゼミナール 南浦和西口教室,埼玉県さいたま市南区南浦和2-41-5 メゾン大東ビル1F,南区,高校受験,小学生/中学生,月約1万〜3万円
35.879536,139.667572,湘南ゼミナール 浦和道祖土教室,埼玉県さいたま市浦和区大東3-40-10,浦和区,高校受験,小学生/中学生,月約1万〜3万円
35.890213,139.629761,スクール21 さいたま本部教室,埼玉県さいたま市中央区上落合1-9-2,中央区,高校受験,小学生/中学生,月約2万〜4万円
35.904213,139.622955,スクール21 大宮本部教室,埼玉県さいたま市大宮区桜木町1-160,大宮区,高校受験,小学生/中学生,月約2万〜4万円
35.90736,139.633499,スクール21 大宮東口教室,埼玉県さいたま市大宮区東町1-32-2,大宮区,高校受験,小学生/中学生,月約2万〜4万円
35.8708,139.645721,スクール21 北浦和教室,埼玉県さいたま市浦和区常盤9-19-9,浦和区,高校受験,小学生/中学生,月約2万〜4万円
35.857121,139.653427,スクール21 浦和教室,埼玉県さいたま市浦和区高砂2-2-17 浦和県庁通りビル3F〜4F,浦和区,高校受験,小学生/中学生,月約2万〜4万円
35.872208,139.652512,スクール21 浦和元町教室,埼玉県さいたま市浦和区元町2-20-7,浦和区,高校受験,小学生/中学生,月約2万〜4万円
35.845165,139.669647,スクール21 南浦和本部教室,埼玉県さいたま市南区文蔵1-17-10,南区,高校受験,小学生/中学生,月約2万〜4万円
35.869686,139.701614,スクール21 東浦和教室,埼玉県さいたま市緑区東浦和7-5-3,緑区,高校受験,小学生/中学生,月約2万〜4万円
35.843513,139.646683,スクール21 武蔵浦和ラムザタワー教室,埼玉県さいたま市南区沼影1-11-2 武蔵浦和SKY&GARDEN A棟,南区,高校受験,小学生/中学生,月約2万〜4万円
35.857174,139.653168,国大セミナー 浦和校,埼玉県さいたま市浦和区高砂2-3-19 新高砂ビル5F,浦和区,高校受験,小学生/中学生,月約2万〜3万円
35.871273,139.644638,国大セミナー 北浦和校,埼玉県さいたま市浦和区北浦和4-3-1 ミツイビル201号室,浦和区,高校受験,小学生/中学生,月約2万〜3万円
35.859398,139.658875,国大セミナー 浦和東仲町校,埼玉県さいたま市浦和区東仲町25-28 東口ロイヤルビル3F,浦和区,高校受験,小学生/中学生,月約2万〜3万円
35.867893,139.615341,国大セミナー 埼大通り校,埼玉県さいたま市桜区栄和4-23-6 マルショウハイツ201,桜区,高校受験,小学生/中学生,月約2万〜3万円
35.853592,139.630737,国大セミナー 西堀校,埼玉県さいたま市桜区西堀6-1-20 第一グリーンビル2F,桜区,高校受験,小学生/中学生,月約2万〜3万円
35.9048,139.61702,国大セミナー 大宮校,埼玉県さいたま市大宮区桜木町4-252 ユニオンビルディング3F,大宮区,高校受験,小学生/中学生,月約2万〜3万円
35.910301,139.665619,国大セミナー 見沼校,埼玉県さいたま市見沼区御蔵74-13 グリーンハイツ101号室,見沼区,高校受験,小学生/中学生,月約2万〜3万円
35.866013,139.675735,国大セミナー 南区校,埼玉県さいたま市南区大谷口573-1 ハイリーハイツ浦和101号,南区,高校受験,小学生/中学生,月約2万〜3万円
35.859951,139.621735,国大セミナー 中浦和校,埼玉県さいたま市桜区町谷1-17-11,桜区,高校受験,小学生/中学生,月約2万〜3万円
35.905388,139.626755,ena 大宮校,埼玉県さいたま市大宮区仲町1-47 大宮SGビル5F,大宮区,高校受験,小学生/中学生,月約2万〜4万円
35.872066,139.650604,筑波進研スクール 北浦和本部校,埼玉県さいたま市浦和区元町2-17-24,浦和区,高校受験,小学生/中学生,月約1.5万〜3万円
35.895905,139.616119,筑波進研スクール 大宮校,埼玉県さいたま市大宮区上小町1302-2,大宮区,高校受験,小学生/中学生,月約1.5万〜3万円
35.929081,139.605942,筑波進研スクール 日進教室,埼玉県さいたま市北区日進町2-1059-1-2F,北区,高校受験,小学生/中学生,月約1.5万〜3万円
35.879917,139.676727,筑波進研スクール 中尾教室,埼玉県さいたま市緑区中尾577-1,緑区,高校受験,小学生/中学生,月約1.5万〜3万円
35.862385,139.630096,筑波進研スクール 西堀教室,埼玉県さいたま市桜区西堀9-26-20,桜区,高校受験,小学生/中学生,月約1.5万〜3万円
35.864834,139.669525,筑波進研スクール 太田窪教室,埼玉県さいたま市緑区太田窪1-26-13,緑区,高校受験,小学生/中学生,月約1.5万〜3万円
35.951412,139.663712,筑波進研スクール 深作教室,埼玉県さいたま市見沼区深作1-2-4,見沼区,高校受験,小学生/中学生,月約1.5万〜3万円
35.901215,139.724426,筑波進研スクール 四谷校,埼玉県さいたま市緑区美園2-11-9,緑区,高校受験,小学生/中学生,月約1.5万〜3万円
35.901474,139.608688,明光義塾 大宮教室,埼玉県さいたま市大宮区上小町462 シティパルサイトー2F,大宮区,個別指導,小学生/中学生/高校生,月約1.5万〜3万円
35.891033,139.62793,明光義塾 さいたま新都心教室,埼玉県さいたま市中央区上落合2-3-2 Shinto CITY 1F,中央区,個別指導,小学生/中学生/高校生,月約1.5万〜3万円
35.89304,139.638672,明光義塾 与野北袋教室,埼玉県さいたま市大宮区北袋町1-341-5,大宮区,個別指導,小学生/中学生/高校生,月約1.5万〜3万円
35.871899,139.647491,明光義塾 北浦和駅前教室,埼玉県さいたま市浦和区北浦和3-1-10 乙女屋ビル2F,浦和区,個別指導,小学生/中学生/高校生,月約1.5万〜3万円
35.849068,139.665878,明光義塾 南浦和教室,埼玉県さいたま市南区南本町2-21-9 ホワイトキャッスル1F,南区,個別指導,小学生/中学生/高校生,月約1.5万〜3万円
35.846344,139.653763,明光義塾 武蔵浦和教室,埼玉県さいたま市南区白幡3-7-22 ドミール武蔵浦和1F,南区,個別指導,小学生/中学生/高校生,月約1.5万〜3万円
35.933678,139.621918,明光義塾 宮原ステラタウン前教室,埼玉県さいたま市北区宮原町1-853-8 ウェルネスキューブ大宮306,北区,個別指導,小学生/中学生/高校生,月約1.5万〜3万円
35.86195,139.667358,明光義塾 浦和太田窪教室,埼玉県さいたま市南区太田窪2-2-1 2F,南区,個別指導,小学生/中学生/高校生,月約1.5万〜3万円
35.972584,139.69989,明光義塾 岩槻上野教室,埼玉県さいたま市岩槻区上野3-2-14 岩槻上野郵便局2F,岩槻区,個別指導,小学生/中学生/高校生,月約1.5万〜3万円
35.952496,139.692184,明光義塾 ヤオコー岩槻西町教室,埼玉県さいたま市岩槻区西町2-5-1,岩槻区,個別指導,小学生/中学生/高校生,月約1.5万〜3万円
35.884731,139.657471,ITTO個別指導学院 浦和木崎校,埼玉県さいたま市浦和区木崎2-4-2,浦和区,個別指導,小学生/中学生/高校生,月約1万〜3万円
35.938957,139.647675,ITTO個別指導学院 東大宮校,埼玉県さいたま市見沼区東大宮7-76-17 STビル2F,見沼区,個別指導,小学生/中学生/高校生,月約1万〜3万円
35.860531,139.697433,ITTO個別指導学院 東浦和校,埼玉県さいたま市緑区東浦和2-49-12,緑区,個別指導,小学生/中学生/高校生,月約1万〜3万円
35.908939,139.653732,ITTO個別指導学院 南中野校,埼玉県さいたま市見沼区南中野222-1,見沼区,個別指導,小学生/中学生/高校生,月約1万〜3万円
35.875114,139.700455,ITTO個別指導学院 尾間木校,埼玉県さいたま市緑区大牧1218-36,緑区,個別指導,小学生/中学生/高校生,月約1万〜3万円
35.939972,139.607254,ITTO個別指導学院 宮原西口校,埼玉県さいたま市北区日進町3-738-1 関根ビル2F,北区,個別指導,小学生/中学生/高校生,月約1万〜3万円
35.844379,139.630066,ITTO個別指導学院 西浦和駅前校,埼玉県さいたま市桜区田島5-20-24,桜区,個別指導,小学生/中学生/高校生,月約1万〜3万円
35.905983,139.587494,ITTO個別指導学院 佐知川校,埼玉県さいたま市西区佐知川228-6,西区,個別指導,小学生/中学生/高校生,月約1万〜3万円
35.842239,139.663986,ITTO個別指導学院 南根岸校,埼玉県さいたま市南区根岸3-1-8,南区,個別指導,小学生/中学生/高校生,月約1万〜3万円
35.950104,139.693756,ITTO個別指導学院 岩槻校,埼玉県さいたま市岩槻区本町3-2-5 ワッツ東館,岩槻区,個別指導,小学生/中学生/高校生,月約1万〜3万円
35.914505,139.608963,ITTO個別指導学院 大宮西校,埼玉県さいたま市大宮区櫛引町1-715-1,大宮区,個別指導,小学生/中学生/高校生,月約1万〜3万円
35.916344,139.572159,ITTO個別指導学院 指扇校,埼玉県さいたま市西区指扇2820-1,西区,個別指導,小学生/中学生/高校生,月約1万〜3万円
35.921463,139.623245,ITTO個別指導学院 東大成校,埼玉県さいたま市北区東大成町1-589-1,北区,個別指導,小学生/中学生/高校生,月約1万〜3万円
35.944939,139.628403,ITTO個別指導学院 本郷校,埼玉県さいたま市北区本郷町1175-4,北区,個別指導,小学生/中学生/高校生,月約1万〜3万円
35.91795,139.646027,ITTO個別指導学院 大和田駅前校,埼玉県さいたま市見沼区大和田町1-205,見沼区,個別指導,小学生/中学生/高校生,月約1万〜3万円
35.953911,139.666351,ITTO個別指導学院 アーバンみらい校,埼玉県さいたま市見沼区深作3-39-1,見沼区,個別指導,小学生/中学生/高校生,月約1万〜3万円
35.95647,139.596161,ITTO個別指導学院 大宮別所校,埼玉県さいたま市北区別所町5,北区,個別指導,小学生/中学生/高校生,月約1万〜3万円
35.945286,139.610947,ナビ個別指導学院 宮原校,埼玉県さいたま市北区宮原町4-19-8 アイランドビレッジ1F,北区,個別指導,小学生/中学生/高校生,月約1万〜2.5万円
35.920513,139.564865,ナビ個別指導学院 指扇校,埼玉県さいたま市西区宝来2224-3 コンフォート都1F,西区,個別指導,小学生/中学生/高校生,月約1万〜2.5万円
35.949982,139.697235,ナビ個別指導学院 岩槻校,埼玉県さいたま市岩槻区本町4-2-11 田中ビル1F,岩槻区,個別指導,小学生/中学生/高校生,月約1万〜2.5万円
35.928394,139.607574,個別指導Axis 日進校,埼玉県さいたま市北区日進町2-851-1 神山ビル1F,北区,個別指導,小学生/中学生/高校生,月約1.5万〜3万円
35.859951,139.621735,個別指導Axis 中浦和校,埼玉県さいたま市桜区町谷1-17-11,桜区,個別指導,小学生/中学生/高校生,月約1.5万〜3万円
35.85392,139.637833,個別指導Axis 中浦和駅前校,埼玉県さいたま市南区鹿手袋1-3-10,南区,個別指導,小学生/中学生/高校生,月約1.5万〜3万円
35.883327,139.739258,個別指導Axis 東大門校,埼玉県さいたま市緑区東大門2-22-8 ラフィネ大門1F,緑区,個別指導,小学生/中学生/高校生,月約1.5万〜3万円
35.923809,139.582031,公文式 西大宮駅前教室,埼玉県さいたま市西区西大宮1-4-7,西区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
35.917042,139.566315,公文式 指扇教室,埼玉県さいたま市西区指扇2637-6,西区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
35.925968,139.622559,公文式 植竹教室,埼玉県さいたま市北区植竹町1-417,北区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
35.932701,139.622437,公文式 ステラタウン前教室,埼玉県さいたま市北区宮原町1-854-1,北区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
35.929726,139.63147,公文式 土呂中央教室,埼玉県さいたま市北区土呂町2-2-18,北区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
35.928318,139.604599,公文式 日進教室,埼玉県さいたま市北区日進町2-1171-1,北区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
35.924385,139.60495,公文式 日進北教室,埼玉県さいたま市北区日進町1-567,北区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
35.937618,139.603027,公文式 日進公園教室,埼玉県さいたま市北区日進町3-549-4,北区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
35.924988,139.607635,公文式 日進南教室,埼玉県さいたま市北区日進町2-911-3,北区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
35.915714,139.612701,公文式 大成北教室,埼玉県さいたま市大宮区大成町3-632 白鳩コーポ103,大宮区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
35.927895,139.628159,公文式 盆栽町教室,埼玉県さいたま市北区盆栽町459-10,北区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
35.904377,139.620132,公文式 大宮中高生教室,埼玉県さいたま市大宮区桜木町1-9-6 大宮センタービル2F,大宮区,公文式,中学生/高校生,1教科月7150〜9900円
35.900421,139.618591,公文式 桜木町教室,埼玉県さいたま市大宮区桜木町4-720 松本ビル2F,大宮区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
35.911095,139.633347,公文式 東町教室,埼玉県さいたま市大宮区東町2-276 小島屋ビル2F,大宮区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
35.909988,139.62941,公文式 高鼻町教室,埼玉県さいたま市大宮区高鼻町1-40,大宮区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
35.909672,139.639404,公文式 堀の内教室,埼玉県さいたま市大宮区堀の内町1-62,大宮区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
35.949505,139.638474,公文式 パール教室,埼玉県さいたま市見沼区東大宮4-16-7,見沼区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
35.948235,139.64183,公文式 東大宮教室,埼玉県さいたま市見沼区東大宮5-30-7,見沼区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
35.938801,139.667053,公文式 はるさと教室,埼玉県さいたま市見沼区風渡野731-6,見沼区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
35.928406,139.66925,公文式 七里教室,埼玉県さいたま市見沼区新堤7-21-202,見沼区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
35.93409,139.664307,公文式 七里西教室,埼玉県さいたま市見沼区東門前62-3,見沼区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
35.889107,139.629471,公文式 北与野駅前教室,埼玉県さいたま市中央区上落合2-1-22,中央区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
35.88184,139.627197,公文式 下落合小前教室,埼玉県さいたま市中央区下落合6-9-13,中央区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
35.874783,139.634476,公文式 新中里教室,埼玉県さいたま市中央区新中里3-6-19,中央区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
35.868465,139.626572,公文式 鈴谷小西教室,埼玉県さいたま市中央区鈴谷3-8-24,中央区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
35.899815,139.623428,公文式 パークシティ前教室,埼玉県さいたま市中央区上落合8-3-35,中央区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
35.885738,139.634735,公文式 与野駅西口前教室,埼玉県さいたま市中央区下落合1017-3,中央区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
35.86824,139.629639,公文式 与野中央通り教室,埼玉県さいたま市中央区鈴谷2-740-3,中央区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
35.87767,139.611801,公文式 与野西北小北教室,埼玉県さいたま市中央区八王子3-2-15,中央区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
35.872704,139.629333,公文式 与野図書館北教室,埼玉県さいたま市中央区鈴谷5-7-12,中央区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
35.887356,139.628586,公文式 与野八幡教室,埼玉県さいたま市中央区下落合4-18-12,中央区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
35.87154,139.639313,公文式 イオン北浦和教室,埼玉県さいたま市浦和区常盤10-20-29 イオン北浦和店3F,浦和区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
35.859356,139.658524,公文式 浦和駅東口教室,埼玉県さいたま市浦和区東仲町25-1 浦和JSビル3F,浦和区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
35.85783,139.661591,公文式 浦和仲本教室,埼玉県さいたま市浦和区東高砂町17-10 シゲビル2F,浦和区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
