緯度,経度,名称,住所,区,カテゴリ,対象学年,費用目安
35.902504,139.624161,SAPIX小学部 大宮校,埼玉県さいたま市大宮区桜木町1-271,大宮区,中学受験,小学生,月約4万〜6万円
35.847279,139.667221,SAPIX小学部 南浦和校,埼玉県さいたま市南区南本町2-11-17,南区,中学受験,小学生,月約4万〜6万円
35.904591,139.623001,日能研 大宮校,埼玉県さいたま市大宮区桜木町1-4-1 吉田ビル3・4F,大宮区,中学受験,小学生,月約2万〜4万円
35.847206,139.670364,日能研 南浦和校,埼玉県さいたま市南区南浦和2-38-5,南区,中学受験,小学生,月約2万〜4万円
35.90699,139.621796,早稲田アカデミー 大宮校,埼玉県さいたま市大宮区桜木町2-3 イオンスタイル大宮西口駅前7F,大宮区,中学受験,小学生/中学生,月約3万〜5万円
35.904289,139.624069,四谷大塚 大宮校舎,埼玉県さいたま市大宮区錦町682-1 JR大宮西口ビル4F,大宮区,中学受験,小学生,月約3万〜5万円
35.848824,139.671997,四谷大塚 南浦和校舎,埼玉県さいたま市南区南浦和2-41-3,南区,中学受験,小学生,月約3万〜5万円
35.906113,139.621048,栄光ゼミナール 大宮校,埼玉県さいたま市大宮区桜木町2-4-1 DOMパートIII 4F,大宮区,中学受験,小学生/中学生,月約2万〜4万円
35.858044,139.653824,栄光ゼミナール 浦和校,埼玉県さいたま市浦和区高砂2-9-1,浦和区,中学受験,小学生/中学生,月約2万〜4万円
35.846027,139.670258,栄光ゼミナール 南浦和校,埼玉県さいたま市南区南本町1-3-3,南区,中学受験,小学生/中学生,月約2万〜4万円
35.846161,139.644577,栄光ゼミナール 武蔵浦和校,埼玉県さいたま市南区別所7-16-14 2F,南区,中学受験,小学生/中学生,月約2万〜4万円
35.930931,139.631149,栄光ゼミナール 土呂校,埼玉県さいたま市北区土呂町1-6-3 アルカータ壽1F,北区,中学受験,小学生/中学生,月約2万〜4万円
35.84684,139.670303,グノーブル 南浦和校,埼玉県さいたま市南区南浦和2-38-21 第一昭栄ビル,南区,中学受験,小学生,月約4万〜6万円
