緯度,経度,名称,住所,区,カテゴリ,対象学年,費用目安
35.901474,139.608688,明光義塾 大宮教室,埼玉県さいたま市大宮区上小町462 シティパルサイトー2F,大宮区,個別指導,小学生/中学生/高校生,月約1.5万〜3万円
35.891033,139.62793,明光義塾 さいたま新都心教室,埼玉県さいたま市中央区上落合2-3-2 Shinto CITY 1F,中央区,個別指導,小学生/中学生/高校生,月約1.5万〜3万円
35.89304,139.638672,明光義塾 与野北袋教室,埼玉県さいたま市大宮区北袋町1-341-5,大宮区,個別指導,小学生/中学生/高校生,月約1.5万〜3万円
35.871899,139.647491,明光義塾 北浦和駅前教室,埼玉県さいたま市浦和区北浦和3-1-10 乙女屋ビル2F,浦和区,個別指導,小学生/中学生/高校生,月約1.5万〜3万円
35.849068,139.665878,明光義塾 南浦和教室,埼玉県さいたま市南区南本町2-21-9 ホワイトキャッスル1F,南区,個別指導,小学生/中学生/高校生,月約1.5万〜3万円
35.846344,139.653763,明光義塾 武蔵浦和教室,埼玉県さいたま市南区白幡3-7-22 ドミール武蔵浦和1F,南区,個別指導,小学生/中学生/高校生,月約1.5万〜3万円
35.933678,139.621918,明光義塾 宮原ステラタウン前教室,埼玉県さいたま市北区宮原町1-853-8 ウェルネスキューブ大宮306,北区,個別指導,小学生/中学生/高校生,月約1.5万〜3万円
35.86195,139.667358,明光義塾 浦和太田窪教室,埼玉県さいたま市南区太田窪2-2-1 2F,南区,個別指導,小学生/中学生/高校生,月約1.5万〜3万円
35.972584,139.69989,明光義塾 岩槻上野教室,埼玉県さいたま市岩槻区上野3-2-14 岩槻上野郵便局2F,岩槻区,個別指導,小学生/中学生/高校生,月約1.5万〜3万円
35.952496,139.692184,明光義塾 ヤオコー岩槻西町教室,埼玉県さいたま市岩槻区西町2-5-1,岩槻区,個別指導,小学生/中学生/高校生,月約1.5万〜3万円
35.884731,139.657471,ITTO個別指導学院 浦和木崎校,埼玉県さいたま市浦和区木崎2-4-2,浦和区,個別指導,小学生/中学生/高校生,月約1万〜3万円
35.938957,139.647675,ITTO個別指導学院 東大宮校,埼玉県さいたま市見沼区東大宮7-76-17 STビル2F,見沼区,個別指導,小学生/中学生/高校生,月約1万〜3万円
35.860531,139.697433,ITTO個別指導学院 東浦和校,埼玉県さいたま市緑区東浦和2-49-12,緑区,個別指導,小学生/中学生/高校生,月約1万〜3万円
35.908939,139.653732,ITTO個別指導学院 南中野校,埼玉県さいたま市見沼区南中野222-1,見沼区,個別指導,小学生/中学生/高校生,月約1万〜3万円
35.875114,139.700455,ITTO個別指導学院 尾間木校,埼玉県さいたま市緑区大牧1218-36,緑区,個別指導,小学生/中学生/高校生,月約1万〜3万円
35.939972,139.607254,ITTO個別指導学院 宮原西口校,埼玉県さいたま市北区日進町3-738-1 関根ビル2F,北区,個別指導,小学生/中学生/高校生,月約1万〜3万円
35.844379,139.630066,ITTO個別指導学院 西浦和駅前校,埼玉県さいたま市桜区田島5-20-24,桜区,個別指導,小学生/中学生/高校生,月約1万〜3万円
35.905983,139.587494,ITTO個別指導学院 佐知川校,埼玉県さいたま市西区佐知川228-6,西区,個別指導,小学生/中学生/高校生,月約1万〜3万円
35.842239,139.663986,ITTO個別指導学院 南根岸校,埼玉県さいたま市南区根岸3-1-8,南区,個別指導,小学生/中学生/高校生,月約1万〜3万円
35.950104,139.693756,ITTO個別指導学院 岩槻校,埼玉県さいたま市岩槻区本町3-2-5 ワッツ東館,岩槻区,個別指導,小学生/中学生/高校生,月約1万〜3万円
35.914505,139.608963,ITTO個別指導学院 大宮西校,埼玉県さいたま市大宮区櫛引町1-715-1,大宮区,個別指導,小学生/中学生/高校生,月約1万〜3万円
