緯度,経度,名称,住所,区,カテゴリ,対象学年,費用目安
35.923809,139.582031,公文式 西大宮駅前教室,埼玉県さいたま市西区西大宮1-4-7,西区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
35.917042,139.566315,公文式 指扇教室,埼玉県さいたま市西区指扇2637-6,西区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
35.925968,139.622559,公文式 植竹教室,埼玉県さいたま市北区植竹町1-417,北区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
35.932701,139.622437,公文式 ステラタウン前教室,埼玉県さいたま市北区宮原町1-854-1,北区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
35.929726,139.63147,公文式 土呂中央教室,埼玉県さいたま市北区土呂町2-2-18,北区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
35.928318,139.604599,公文式 日進教室,埼玉県さいたま市北区日進町2-1171-1,北区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
35.924385,139.60495,公文式 日進北教室,埼玉県さいたま市北区日進町1-567,北区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
35.937618,139.603027,公文式 日進公園教室,埼玉県さいたま市北区日進町3-549-4,北区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
35.924988,139.607635,公文式 日進南教室,埼玉県さいたま市北区日進町2-911-3,北区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
35.915714,139.612701,公文式 大成北教室,埼玉県さいたま市大宮区大成町3-632 白鳩コーポ103,大宮区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
35.927895,139.628159,公文式 盆栽町教室,埼玉県さいたま市北区盆栽町459-10,北区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
35.904377,139.620132,公文式 大宮中高生教室,埼玉県さいたま市大宮区桜木町1-9-6 大宮センタービル2F,大宮区,公文式,中学生/高校生,1教科月7150〜9900円
35.900421,139.618591,公文式 桜木町教室,埼玉県さいたま市大宮区桜木町4-720 松本ビル2F,大宮区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
