緯度,経度,名称,住所,区,カテゴリ,対象学年,費用目安
35.902992,139.623276,河合塾 大宮校,埼玉県さいたま市大宮区桜木町1-235-3,大宮区,大学受験,高校生/既卒生,年間約50万〜100万円
35.904591,139.623001,河合塾マナビス 大宮校,埼玉県さいたま市大宮区桜木町1-4-7 曙ビル2〜5F,大宮区,大学受験,高校生,1講座約2万〜5万円
35.871346,139.647415,河合塾マナビス 浦和校,埼玉県さいたま市浦和区北浦和3-1-17 安田ビル2F,浦和区,大学受験,高校生,1講座約2万〜5万円
35.872837,139.646957,河合塾マナビス 北浦和校,埼玉県さいたま市浦和区北浦和3-5-14 SIAビル2F,浦和区,大学受験,高校生,1講座約2万〜5万円
35.846378,139.669083,河合塾マナビス 南浦和校,埼玉県さいたま市南区南本町1-2-12 コイケビル1F,南区,大学受験,高校生,1講座約2万〜5万円
35.846622,139.646225,河合塾マナビス 武蔵浦和校,埼玉県さいたま市南区別所7-10-10 MIYAMA.BLD,南区,大学受験,高校生,1講座約2万〜5万円
35.892738,139.629837,河合塾マナビス さいたま新都心校,埼玉県さいたま市中央区新都心5-2 小池ビルポルトB1F,中央区,大学受験,高校生,1講座約2万〜5万円
35.905052,139.623077,東進ハイスクール 大宮校,埼玉県さいたま市大宮区桜木町1-2-1 北山ビル6・7F,大宮区,大学受験,高校生,1講座約7.7万円
35.858028,139.658401,東進ハイスクール 浦和校,埼玉県さいたま市浦和区東高砂町2-5 NBF浦和ビル1・2F,浦和区,大学受験,高校生,1講座約7.7万円
35.848824,139.671997,東進ハイスクール 南浦和校,埼玉県さいたま市南区南浦和2-41-3 5・6F,南区,大学受験,高校生,1講座約7.7万円
35.872066,139.650604,東進衛星予備校 北浦和校,埼玉県さいたま市浦和区元町2-17-24,浦和区,大学受験,高校生,1講座約7.7万円
35.948425,139.64122,東進衛星予備校 東大宮駅前校,埼玉県さいたま市見沼区東大宮5-1-1-3F,見沼区,大学受験,高校生,1講座約7.7万円
35.950104,139.693756,東進衛星予備校 岩槻駅東口校,埼玉県さいたま市岩槻区本町3-2-5 ワッツ東館4F,岩槻区,大学受験,高校生,1講座約7.7万円
35.901215,139.724426,東進衛星予備校 浦和美園校,埼玉県さいたま市緑区美園2-11-9,緑区,大学受験,高校生,1講座約7.7万円
35.934258,139.60849,東進衛星予備校 さいたま日進校,埼玉県さいたま市北区日進町2-1880-6,北区,大学受験,高校生,1講座約7.7万円
35.902992,139.623276,駿台予備校 大宮校,埼玉県さいたま市大宮区桜木町1-235-3,大宮区,大学受験,高校生/既卒生,年間約50万〜100万円
35.906155,139.627594,武田塾 大宮東口館,埼玉県さいたま市大宮区仲町2-3 ドミノスペースビル4F,大宮区,大学受験,高校生/既卒生,月約4万〜8万円
35.903706,139.623108,武田塾 大宮西口館,埼玉県さいたま市大宮区桜木町1-180 コフルビル4F,大宮区,大学受験,高校生/既卒生,月約4万〜8万円
35.845921,139.670364,武田塾 南浦和校,埼玉県さいたま市南区南本町1-3-4 清水ビル3F・4F,南区,大学受験,高校生/既卒生,月約4万〜8万円
35.846878,139.650467,武田塾 武蔵浦和校,埼玉県さいたま市南区別所7-1-2 浦和ビル別館3F,南区,大学受験,高校生/既卒生,月約4万〜8万円
35.872528,139.646362,武田塾 北浦和校,埼玉県さいたま市浦和区北浦和3-4-1 三宝ビル3F,浦和区,大学受験,高校生/既卒生,月約4万〜8万円
35.949692,139.693146,武田塾 岩槻校,埼玉県さいたま市岩槻区本町1-2-1 柳屋ビル5F,岩槻区,大学受験,高校生/既卒生,月約4万〜8万円
