緯度,経度,名称,住所,区,カテゴリ,対象学年,費用目安
35.871788,139.646729,学研教室 学研北浦和駅前教室,埼玉県さいたま市浦和区北浦和3-2-1 サンライト北浦和2F,浦和区,学研教室,幼児/小学生/中学生,算国2教科月8800円
35.856964,139.657883,学研教室 学研スクエア浦和教室,埼玉県さいたま市浦和区高砂1-2-1 エイペックスタワー浦和212,浦和区,学研教室,幼児/小学生/中学生,算国2教科月8800円
35.90699,139.621796,学研教室 学研さいたま大宮教室,埼玉県さいたま市大宮区桜木町2-3 イオン大宮西口駅前店内,大宮区,学研教室,幼児/小学生/中学生,算国2教科月8800円
35.932701,139.622437,学研教室 学研スクエア大宮宮原イトーヨーカドー教室,埼玉県さいたま市北区宮原町1-854-1 イトーヨーカドー大宮宮原店3F,北区,学研教室,幼児/小学生/中学生,算国2教科月8800円
35.948208,139.639603,学研教室 学研東大宮駅前教室,埼玉県さいたま市見沼区東大宮4-2-1,見沼区,学研教室,幼児/小学生/中学生,算国2教科月8800円
35.933678,139.621918,学研教室 ステラタウン前教室,埼玉県さいたま市北区宮原町1-853-8,北区,学研教室,幼児/小学生/中学生,算国2教科月8800円
35.934258,139.60849,学研教室 日進宮原教室,埼玉県さいたま市北区日進町2-1880-6,北区,学研教室,幼児/小学生/中学生,算国2教科月8800円
35.854855,139.625397,学研教室 英語西堀教室,埼玉県さいたま市桜区西堀5-17-15,桜区,学研教室,幼児/小学生/中学生,算国2教科月8800円
35.871239,139.616913,学研教室 さかわ教室,埼玉県さいたま市桜区栄和4-7-3,桜区,学研教室,幼児/小学生/中学生,算国2教科月8800円
35.881569,139.603363,学研教室 白鍬教室,埼玉県さいたま市桜区白鍬580-3,桜区,学研教室,幼児/小学生/中学生,算国2教科月8800円
35.950195,139.69339,学研教室 岩槻教室,埼玉県さいたま市岩槻区本町3-1-1,岩槻区,学研教室,幼児/小学生/中学生,算国2教科月8800円
