緯度,経度,名称,住所,区,カテゴリ,対象学年,費用目安
35.908134,139.620728,臨海セミナー 大宮校,埼玉県さいたま市大宮区桜木町2-8-2 第2金子ビル4F,大宮区,高校受験,小学生/中学生,月約1万〜3万円
35.871273,139.644638,臨海セミナー 北浦和校,埼玉県さいたま市浦和区北浦和4-3-1 三飯ビル4F401号室,浦和区,高校受験,小学生/中学生,月約1万〜3万円
35.845425,139.666428,臨海セミナー 南浦和校,埼玉県さいたま市南区南本町1-16-5 サンシティビル5F,南区,高校受験,小学生/中学生,月約1万〜3万円
35.842552,139.641602,臨海セミナー 武蔵浦和校,埼玉県さいたま市南区沼影1-29-4 信興ビル102号室,南区,高校受験,小学生/中学生,月約1万〜3万円
35.865807,139.704422,臨海セミナー 東浦和校,埼玉県さいたま市緑区東浦和5-11-3 熊木ビル3F,緑区,高校受験,小学生/中学生,月約1万〜3万円
35.881023,139.625443,臨海セミナー 与野本町校,埼玉県さいたま市中央区本町東2-4-8 ロータリービル2F,中央区,高校受験,小学生/中学生,月約1万〜3万円
35.884644,139.638184,湘南ゼミナール 与野教室,埼玉県さいたま市浦和区上木崎1-10-1 グランデュオ北街区1F,浦和区,高校受験,小学生/中学生,月約1万〜3万円
35.861305,139.653244,湘南ゼミナール 浦和教室,埼玉県さいたま市浦和区仲町1-14-6 ドミール浦和1F,浦和区,高校受験,小学生/中学生,月約1万〜3万円
35.929134,139.607559,湘南ゼミナール 日進教室,埼玉県さいたま市北区日進町2-834-1 大畠日進ビル1F,北区,高校受験,小学生/中学生,月約1万〜3万円
35.871868,139.699905,湘南ゼミナール 東浦和教室,埼玉県さいたま市緑区東浦和7-48-12 ガリレオビル4F,緑区,高校受験,小学生/中学生,月約1万〜3万円
35.848988,139.672272,湘南ゼミナール 南浦和西口教室,埼玉県さいたま市南区南浦和2-41-5 メゾン大東ビル1F,南区,高校受験,小学生/中学生,月約1万〜3万円
35.879536,139.667572,湘南ゼミナール 浦和道祖土教室,埼玉県さいたま市浦和区大東3-40-10,浦和区,高校受験,小学生/中学生,月約1万〜3万円
35.890213,139.629761,スクール21 さいたま本部教室,埼玉県さいたま市中央区上落合1-9-2,中央区,高校受験,小学生/中学生,月約2万〜4万円
