緯度,経度,名称,住所,区,ジャンル,対象年齢,費用目安,URL,説明
35.890839,139.731522,そろばん教室88くん イオンモール浦和美園,埼玉県さいたま市緑区美園5-50-1,緑区,そろばん,幼児/小学生/中高生,,https://kodomo-booster.com/prefectures/saitama/cities/11100/categories/abacus,年少から少人数制 振替レッスン無料
35.891598,139.637924,ウィズダムアカデミー そろばん教室 さいたま新都心校,埼玉県さいたま市大宮区北袋町1-601-1,大宮区,そろばん,小学生,,https://kodomo-booster.com/prefectures/saitama/cities/11100/categories/abacus,計算力・精神力・コツコツ続ける力を養う
35.880871,139.640259,そろばん塾ピコ 浦和針ヶ谷教室,埼玉県さいたま市浦和区針ヶ谷4-2-20,浦和区,そろばん,小学生,月謝5500円程度,https://kodomo-booster.com/prefectures/saitama/cities/11100/categories/abacus,京大生講師による個別指導
35.862011,139.645584,そろばん塾ピコ 新中里教室,埼玉県さいたま市浦和区新中里3-22-8,浦和区,そろばん,小学生,月謝5500円程度,https://kodomo-booster.com/prefectures/saitama/cities/11100/categories/abacus,京大生講師による個別指導
35.907307,139.627335,そろばん教室USA 大宮教室,埼玉県さいたま市大宮区大門町2-118,大宮区,そろばん,幼児/小学生/中高生,,https://kappakanjikanthari.com/soroban-saitamasi/,段位・1級取得者数が県内トップクラス
35.906548,139.641556,大宮珠算学校 大宮本校,埼玉県さいたま市大宮区天沼町1-399,大宮区,そろばん,幼児/小学生/中高生,,https://kappakanjikanthari.com/soroban-saitamasi/,就学前の幼児から小中高校生まで対応
35.891033,139.62793,つなぐそろばん教室 中央区教室,埼玉県さいたま市中央区上落合2-3-2,中央区,そろばん,幼児/小学生,,https://kappakanjikanthari.com/soroban-saitamasi/,4歳から12歳の子ども向け
35.857456,139.687927,細野珠算学園,埼玉県さいたま市南区大谷口1768-1,南区,そろばん,小学生/中高生,,https://www.soroban.or.jp/school/,月曜から金曜 午後3時30分から7時まで
35.892979,139.670761,アビリードそろばんスクール,埼玉県さいたま市緑区三室580-3,緑区,そろばん,小学生,,http://abilead-school.com/,フラッシュ暗算対応
35.909435,139.600464,ステップステージ学習塾 そろばん教室,埼玉県さいたま市大宮区三橋1-799-2,大宮区,そろばん,小学生,,https://step-stage.jp/soroban/,学習塾併設のそろばん教室
