緯度,経度,名称,住所,区,ジャンル,対象年齢,費用目安,URL,説明
35.893513,139.727921,リベルタサッカースクール 浦和美園,埼玉県さいたま市緑区美園4-12,緑区,サッカー,幼児/小学生,月謝8840円,https://kodomo-booster.com/prefectures/saitama/cities/11100/categories/soccer,国内会員数NO.1の子供向けサッカースクール
35.922535,139.609924,リベルタサッカースクール 櫛引,埼玉県さいたま市北区櫛引町2-574-1,北区,サッカー,幼児/小学生,月謝8840円,https://kodomo-booster.com/prefectures/saitama/cities/11100/categories/soccer,認めて褒めて励まし勇気づける指導方針
35.928249,139.578979,リベルタサッカースクール 大宮西,埼玉県さいたま市西区西大宮3-69-1,西区,サッカー,幼児/小学生,月謝8840円,https://kodomo-booster.com/prefectures/saitama/cities/11100/categories/soccer,認めて褒めて励まし勇気づける指導方針
35.88689,139.639023,グローバルアスリート英語サッカースクール 与野校,埼玉県さいたま市浦和区上木崎2-3-6,浦和区,サッカー,幼児/小学生,月謝13750円,https://kodomo-booster.com/prefectures/saitama/cities/11100/categories/soccer,サッカーを通して楽しく自然に英語を学ぶ
35.83638,139.644775,カルチョスポーツスクール 武蔵浦和校,埼玉県さいたま市南区内谷4-10-9,南区,サッカー,幼児/小学生,,https://kodomo-booster.com/prefectures/saitama/cities/11100/categories/soccer,幼児から高学年向けコース設置
35.922535,139.609924,REALサッカースクール 大宮日進校,埼玉県さいたま市北区櫛引町2-574-1,北区,サッカー,小学生,月謝6050円-7260円,https://kodomo-booster.com/prefectures/saitama/cities/11100/categories/soccer,多くの挑戦と褒める指導で自信と個性を育む
35.922535,139.609924,ドルトムント・サッカーアカデミー 大宮会場,埼玉県さいたま市北区櫛引町2-574-1,北区,サッカー,幼児/小学生,月謝7700円-9900円,https://kodomo-booster.com/prefectures/saitama/cities/11100/categories/soccer,プロの指導者による世界屈指クラブの指導
35.852787,139.673126,クーバー・コーチング・サッカースクール 浦和校,埼玉県さいたま市南区大谷場2-12-35,南区,サッカー,幼児/小学生/中高生,,https://coerver.co.jp/urawa/,天然芝のような人工芝が特徴
35.856712,139.656754,早稲田ユナイテッド 浦和,埼玉県さいたま市浦和区岸町4-1-29,浦和区,サッカー,小学生,月謝6600円,https://kodomo-booster.com/prefectures/saitama/cities/11100/categories/soccer,U9・U12クラス設置
35.889599,139.615906,malvaサッカースクール さいたま校,埼玉県さいたま市中央区本町西5-2-9,中央区,サッカー,幼児/小学生,,https://malva-fc.jp/saitama-sc/,地域で評判の人気サッカースクール
35.935169,139.608902,デールさいたまスポーツクラブ サッカー,埼玉県さいたま市北区日進町2-1916-3,北区,サッカー,幼児/小学生,,https://www.dalesc.jp/,2歳から受け入れ可能
35.909435,139.600464,エボルテサッカースクール,埼玉県さいたま市大宮区三橋1-799-2,大宮区,サッカー,幼児/小学生,,https://evorte-soccer.com/,大宮エリアのサッカースクール
