緯度,経度,名称,住所,区,ジャンル,対象年齢,費用目安,URL,説明
35.886955,139.604782,さくらスイミングセンター 白鍬教室,埼玉県さいたま市桜区白鍬588,桜区,スイミング,幼児/小学生/中高生/成人,,https://kodomo-booster.com/prefectures/saitama/cities/11100/categories/swimming,0歳から通えるスイミングスクール
35.926445,139.627151,スウィン大宮スイミングスクール本校,埼玉県さいたま市北区盆栽町452,北区,スイミング,幼児/小学生/中高生,,https://www.omiya-swimming.co.jp/,子供の健全育成と地域の健康サポート
35.853065,139.664383,しんやまスイミングクラブ 東岸町教室,埼玉県さいたま市浦和区東岸町9-20,浦和区,スイミング,幼児/小学生/中高生,,https://kodomo-booster.com/prefectures/saitama/cities/11100/categories/swimming,泳ぐ量が多く長い距離を泳げるようになる
35.88966,139.635254,セントラルスポーツ スイミング ラフレさいたま,埼玉県さいたま市中央区新都心3-2,中央区,スイミング,幼児/小学生/中高生/成人,,https://www.central.co.jp/club/shintoshin-saitama/,総合スポーツクラブのスイミングスクール
35.909626,139.621246,ジェクサー・フィットネス&スパ大宮 スイミング,埼玉県さいたま市大宮区錦町91-4,大宮区,スイミング,幼児/小学生/中高生/成人,,https://www.jexer.jp/fitness/omiya/,大宮駅直結のスポーツクラブ
35.872158,139.684586,ULSスイミングスクール,埼玉県さいたま市緑区中尾2539-1,緑区,スイミング,幼児/小学生/中高生/成人,,https://www.uls-ss.com/,ベビーからご年配まで利用可能
35.902554,139.730286,スウィン美園スイミングスクール,埼玉県さいたま市岩槻区美園東2-17-13,岩槻区,スイミング,幼児/小学生/中高生,,https://inaho-sports.co.jp/school/misono/,スウィングループの美園校
35.932587,139.632996,明和スイミングスクール,埼玉県さいたま市北区土呂町2-12-10,北区,スイミング,幼児/小学生,,http://www.meiwa-youchien.ed.jp/swimming/,さいたま市北区のスイミングスクール
35.859627,139.654663,ルネサンス浦和 スイミングスクール,埼玉県さいたま市浦和区仲町1-3-5,浦和区,スイミング,幼児/小学生/中高生/成人,,https://www.s-re.jp/urawa/school/swimming/,エンジョイスイミングをコンセプトに心身を育む
35.871513,139.638702,コナミスポーツクラブ北浦和 スイミング,埼玉県さいたま市浦和区常盤10-20,浦和区,スイミング,幼児/小学生/中高生/成人,,https://information.konamisportsclub.jp/ksc/004042/,イオン北浦和3Fの総合スポーツクラブ
35.84586,139.645828,コナミスポーツクラブ武蔵浦和 スイミング,埼玉県さいたま市南区別所7-21-1,南区,スイミング,幼児/小学生/中高生/成人,,https://information.konamisportsclub.jp/004081.html,武蔵浦和の総合スポーツクラブ
35.914635,139.571899,愛徳スイミングスクール,埼玉県さいたま市西区指扇2484,西区,スイミング,幼児/小学生/中高生/成人,,https://kodomo-booster.com/prefectures/saitama/cities/11100/categories/swimming,水と触れ合う楽しさを感じながら4泳法習得
35.878632,139.662888,瀬ヶ崎スイミングクラブ,埼玉県さいたま市浦和区瀬ヶ崎3-1-15,浦和区,スイミング,幼児/小学生/中高生,,https://kodomo-booster.com/prefectures/saitama/cities/11100/categories/swimming,30年以上続く地域密着型スクール 3歳から入会可
