緯度,経度,名称,住所,区,ジャンル,対象年齢,費用目安,URL,説明
35.932701,139.622437,セイハダンスアカデミー ステラタウン,埼玉県さいたま市北区宮原町1-854-1,北区,ダンス,幼児/小学生/中高生,,https://kodomo-booster.com/prefectures/saitama/cities/11100/categories/dance,パパイヤ鈴木氏監修カリキュラム 少人数制
35.90749,139.629288,EYS-Kids DANCEACADEMY 大宮ダンススタジオ,埼玉県さいたま市大宮区大門町3-82-3,大宮区,ダンス,幼児/小学生,月謝10500円,https://kodomo-booster.com/prefectures/saitama/cities/11100/categories/dance,HIP-HOP・ジャズ等複数ジャンル対応
35.906155,139.627594,Gravisチアダンススクール 大宮教室,埼玉県さいたま市大宮区仲町2-15,大宮区,ダンス,幼児/小学生,,https://gravis-dance.co.jp/blog/18502/,チアダンス初心者向け 柔軟性と協調性育成
35.857063,139.651749,YTJ KIDS 浦和スタジオ,埼玉県さいたま市浦和区高砂3-6-18,浦和区,ダンス,小学生,月謝15908円,https://kodomo-booster.com/prefectures/saitama/cities/11100/categories/dance,ダンス・英語・歌を統合した2時間レッスン
35.891598,139.637924,ウィズダムアカデミー キッズダンス さいたま新都心校,埼玉県さいたま市大宮区北袋町1-601-1,大宮区,ダンス,小学生,,https://kodomo-booster.com/prefectures/saitama/cities/11100/categories/dance,HIP-HOP基礎指導 初心者対応
35.857994,139.656189,エイベックス・ダンスマスター 浦和校(ジョイクランド),埼玉県さいたま市浦和区高砂1-12-1,浦和区,ダンス,幼児/小学生,,https://dancemaster.avex.jp/studios/?pref=11,HIPHOPキッズクラス 初心者安心レッスン
35.894836,139.639404,YG8 DANCE STUDIO さいたま新都心校,埼玉県さいたま市大宮区北袋町1-125-7,大宮区,ダンス,幼児/小学生/中高生/成人,,https://yg8-dance.jp/,年長から大人まで初心者向けクラス豊富
35.89077,139.634003,BES ダンススクール,埼玉県さいたま市中央区新都心2-2,中央区,ダンス,幼児/小学生/中高生,,https://bes.borgmusic.jp/,幼稚園から高校生まで対応のキッズダンス
35.870712,139.644928,Y's Dance Company,埼玉県さいたま市浦和区常盤9-21-15,浦和区,ダンス,幼児/小学生/中高生,,https://www.ys-dance.jp/,2歳半からのバレエ教室
35.940853,139.610657,Yuuki Ballet Studio,埼玉県さいたま市北区宮原町3-384,北区,ダンス,幼児/小学生/中高生/成人,,https://www.yuuki-ballet.com/,3歳から大人までのクラシックバレエ
35.84586,139.645828,Ballet Studio Miyu,埼玉県さいたま市南区別所7-21-1,南区,ダンス,幼児/小学生/中高生,,https://ballet-studio-miyu.com/,武蔵浦和・浦和のバレエスタジオ
35.908844,139.630188,松山バレエ学校 大宮校,埼玉県さいたま市大宮区大門町3-130-1,大宮区,ダンス,幼児/小学生/中高生,,https://www.matsuyama-ballet.com/school/list/omiya.html,JR大宮駅から徒歩8分
35.848431,139.621216,KEIKO BALLET STUDIO,埼玉県さいたま市桜区新開1-5-10,桜区,ダンス,幼児/小学生/中高生,,https://kei-b-s.com/,少人数で丁寧な指導のクラシックバレエ教室
35.858109,139.650757,BALLET STUDIO MUSA,埼玉県さいたま市浦和区仲町2-16-5,浦和区,ダンス,幼児/小学生/中高生,,https://ballet-st-musa.com/,浦和のバレエ教室
