緯度,経度,名称,住所,区,ジャンル,対象年齢,費用目安,URL,説明
35.908817,139.626968,ヒューマンアカデミージュニア ロボット教室 大宮東口教室,埼玉県さいたま市大宮区宮町2-35,大宮区,プログラミング,幼児/小学生,月謝11550円,https://kodomo-booster.com/prefectures/saitama/cities/11100/categories/programming-and-robot,ロボット製作を通じてプログラミングを学ぶ
35.844322,139.646011,ヒューマンアカデミージュニア ロボット教室 武蔵浦和沼影教室,埼玉県さいたま市南区沼影1-10-1,南区,プログラミング,幼児/小学生,月謝11550円,https://kodomo-booster.com/prefectures/saitama/cities/11100/categories/programming-and-robot,ロボット製作を通じてプログラミングを学ぶ
35.907726,139.620926,LITALICOワンダー 大宮,埼玉県さいたま市大宮区桜木町2-7-1,大宮区,プログラミング,小学生/中高生,,https://wonder.litalico.jp/location/saitama/omiya/,ゲームプログラミングやロボット製作が学べる
35.907829,139.625732,スタープログラミングスクール 大宮マルイ教室,埼玉県さいたま市大宮区宮町1-60,大宮区,プログラミング,小学生/中高生,月謝12100円,https://www.star-programming-school.com/,Scratchを使ったプログラミング学習
35.889599,139.615906,スタープログラミングスクール イオンモール与野教室,埼玉県さいたま市中央区本町西5-2-9,中央区,プログラミング,小学生/中高生,月謝12100円,https://www.star-programming-school.com/yono/,JR北与野駅よりバス5分
35.846394,139.667969,スタープログラミングスクール まるひろ南浦和教室,埼玉県さいたま市南区南本町1-7-1,南区,プログラミング,小学生/中高生,月謝12100円,https://www.star-programming-school.com/,Scratchを使ったプログラミング学習
35.847359,139.67038,Crefus 南浦和校,埼玉県さいたま市南区南浦和2-39-16,南区,プログラミング,小学生/中高生,,https://crefus.jp/,創立20年以上 世界大会に代表チーム輩出
35.904804,139.62796,ステムアカデミーキッズ 大宮教室,埼玉県さいたま市大宮区仲町2-71,大宮区,プログラミング,小学生/中高生,月謝9350円,https://kodomo-booster.com/prefectures/saitama/cities/11100/categories/programming-and-robot,STEM教育のプログラミングスクール
35.871899,139.647491,ステムアカデミーキッズ 北浦和教室,埼玉県さいたま市浦和区北浦和3-1-10,浦和区,プログラミング,小学生/中高生,月謝9350円,https://kodomo-booster.com/prefectures/saitama/cities/11100/categories/programming-and-robot,STEM教育のプログラミングスクール
35.882477,139.634491,ステムアカデミーキッズ 与野教室,埼玉県さいたま市中央区下落合1060-14,中央区,プログラミング,小学生/中高生,月謝9350円,https://kodomo-booster.com/prefectures/saitama/cities/11100/categories/programming-and-robot,STEM教育のプログラミングスクール
35.859089,139.653625,ステムアカデミーキッズ 浦和教室,埼玉県さいたま市浦和区高砂2-14-17,浦和区,プログラミング,小学生/中高生,月謝9350円,https://kodomo-booster.com/prefectures/saitama/cities/11100/categories/programming-and-robot,STEM教育のプログラミングスクール
35.893513,139.727921,ステムアカデミーキッズ 浦和美園教室,埼玉県さいたま市緑区美園4-12-5,緑区,プログラミング,小学生/中高生,月謝9350円,https://kodomo-booster.com/prefectures/saitama/cities/11100/categories/programming-and-robot,STEM教育のプログラミングスクール
35.894836,139.639404,STEMON さいたま新都心校,埼玉県さいたま市大宮区北袋町1-125-7,大宮区,プログラミング,小学生,,https://www.stemon.net/schools/saitama-shintoshin/,STEAM教育＆プログラミングスクール
35.866352,139.704346,プログラミング教育HALLO スクールIE東浦和北口校,埼玉県さいたま市緑区東浦和5-12-1,緑区,プログラミング,小学生/中高生,,https://www.hallo.jp/,一人ひとりに合わせたレッスンで基礎から発展まで
35.90699,139.621796,QUREOプログラミング教室 森塾大宮校,埼玉県さいたま市大宮区桜木町2-3-1,大宮区,プログラミング,小学生,,https://qureo.jp/class/saitama/saitama-shi,リーズナブルな授業料で本格プログラミング
