緯度,経度,名称,住所,区,ジャンル,対象年齢,費用目安,URL,説明
35.932701,139.622437,ネイス体操教室 ステラタウン大宮校,埼玉県さいたま市北区宮原町1-854-1,北区,体操,幼児/小学生,,https://neis-gym.com/class/saitama/neis_1106/,マット・跳び箱・トランポリン等の指導
35.857994,139.656189,ネイス体操教室 浦和コルソ校,埼玉県さいたま市浦和区高砂1-12-1,浦和区,体操,幼児/小学生,,https://neis-gym.com/class/saitama/,コルソ7Fの体操教室
35.840542,139.649841,ネイス体操教室 武蔵浦和校,埼玉県さいたま市南区白幡5-11-20,南区,体操,幼児/小学生,,https://neis-gym.com/class/saitama/,2歳から12歳対象
35.871532,139.695831,ネイス体操教室 東浦和校,埼玉県さいたま市緑区東浦和9-4-7,緑区,体操,幼児/小学生,,https://neis-gym.com/class/saitama/neis_1005/,2歳から12歳対象
35.890839,139.731522,ネイス体操教室 ウニクス浦和美園校,埼玉県さいたま市緑区美園5-50-1,緑区,体操,幼児/小学生,,https://neis-gym.com/class/class_204/,ウニクス浦和美園内
35.911091,139.571518,操友体操クラブ,埼玉県さいたま市西区土屋1766-1,西区,体操,幼児/小学生/中高生,月謝3000円,https://kodomo-booster.com/prefectures/saitama/cities/11100/categories/athletics-and-gymnastics,基本的な体操指導
35.88966,139.635254,TACさいたま新都心 キッズ体操,埼玉県さいたま市中央区新都心3-2,中央区,体操,幼児/小学生,,https://www.tac-net.info/branch/saitama/,乳幼児から小学生向け多彩なプログラム
35.947292,139.64183,忍者ナイン NAS東大宮ラボ,埼玉県さいたま市見沼区東大宮5-26-1,見沼区,体操,幼児/小学生,,https://kodomo-booster.com/prefectures/saitama/cities/11100/categories/athletics-and-gymnastics,やる気スイッチグループの総合スポーツ教室
35.893513,139.727921,忍者ナイン 浦和美園ラボ,埼玉県さいたま市緑区美園4-12,緑区,体操,幼児/小学生,,https://kodomo-booster.com/prefectures/saitama/cities/11100/categories/athletics-and-gymnastics,やる気スイッチグループの総合スポーツ教室
35.88966,139.635254,多種目スポーツスクールJJMIX 新都心教室,埼玉県さいたま市中央区新都心3,中央区,体操,幼児/小学生,月謝6810円,https://kodomo-booster.com/prefectures/saitama/cities/11100/categories/athletics-and-gymnastics,2歳から始められる球技・跳ぶ・走る
