緯度,経度,名称,住所,区,ジャンル,対象年齢,費用目安,URL,説明
35.857304,139.653763,のざお書道教室 浦和駅前教室,埼玉県さいたま市浦和区高砂2-2-21,浦和区,書道,幼児/小学生/中高生/成人,,https://nozaocalligraphyschool.com/,幼児(4歳)から大人まで毛筆・硬筆対応
35.840542,139.649841,のざお書道教室 武蔵浦和教室,埼玉県さいたま市南区白幡5-11-20,南区,書道,幼児/小学生/中高生/成人,,https://nozaocalligraphyschool.com/,幼児(4歳)から大人まで毛筆・硬筆対応
35.932701,139.622437,のざお書道教室 大宮教室,埼玉県さいたま市北区宮原町1-854-1,北区,書道,幼児/小学生/中高生/成人,,https://nozaocalligraphyschool.com/,大宮ステラタウン前 毛筆・硬筆対応
35.891598,139.637924,ウィズダムアカデミー 書道教室 さいたま新都心校,埼玉県さいたま市大宮区北袋町1-601-1,大宮区,書道,小学生,,https://kodomo-booster.com/prefectures/saitama/cities/11100/categories/calligraphy,書き順など基礎から集中力を鍛える
35.919094,139.612671,日本習字 まな教室,埼玉県さいたま市大宮区大成町3-545,大宮区,書道,幼児/小学生/中高生,,https://manasyuji.amebaownd.com/,大宮駅西口から徒歩8分
35.847034,139.672073,片山書道教室,埼玉県さいたま市南区南浦和2-42-12,南区,書道,小学生/中高生/成人,,https://katayama-shodo.com/,子どもから大人まで毛筆やペン字
35.855396,139.655289,晨翔書道会,埼玉県さいたま市浦和区岸町4-25-3,浦和区,書道,小学生/中高生,月謝3500円,https://oogishisss.wixsite.com/calligraphyschool,さいたま市中心に6か所展開 全国規模で団体賞受賞
35.94046,139.613022,千清書道教室,埼玉県さいたま市北区宮原町2-15-7,北区,書道,小学生/中高生,,https://sensei-syodo.com/,子どもの硬筆と書道
35.870735,139.61319,墨點社書の教室 大久保教室,埼玉県さいたま市桜区上大久保519-1,桜区,書道,小学生/中高生/成人,,https://bokutensha.com/,高評価の書道教室
35.91547,139.622696,加葉・おおみや書道教室,埼玉県さいたま市大宮区土手町1-273-5,大宮区,書道,小学生/中高生,,https://kodomo-booster.com/prefectures/saitama/cities/11100/categories/calligraphy,大宮エリアの書道教室
35.84734,139.669922,公文書写 南浦和駅前教室,埼玉県さいたま市南区南浦和2-38-1,南区,書道,幼児/小学生/中高生/成人,,https://kodomo-booster.com/prefectures/saitama/cities/11100/categories/calligraphy,全国展開の公文式書写教室
35.871899,139.647491,公文書写 北浦和教室,埼玉県さいたま市浦和区北浦和3-1-10,浦和区,書道,幼児/小学生/中高生/成人,,https://kodomo-booster.com/prefectures/saitama/cities/11100/categories/calligraphy,全国展開の公文式書写教室
35.83408,139.638519,公文書写 浦和内谷教室,埼玉県さいたま市南区内谷3-7-1,南区,書道,幼児/小学生/中高生/成人,,https://kodomo-booster.com/prefectures/saitama/cities/11100/categories/calligraphy,全国展開の公文式書写教室
35.932701,139.622437,公文書写 ステラタウン前教室,埼玉県さいたま市北区宮原町1-854-1,北区,書道,幼児/小学生/中高生/成人,,https://kodomo-booster.com/prefectures/saitama/cities/11100/categories/calligraphy,全国展開の公文式書写教室
35.896194,139.630676,NHKカルチャー さいたまアリーナ教室 書道,埼玉県さいたま市中央区新都心8,中央区,書道,小学生/中高生,,https://kodomo-booster.com/prefectures/saitama/cities/11100/categories/calligraphy,さいたまスーパーアリーナ内
35.965416,139.698395,山田書道教室 大字岩槻教室,埼玉県さいたま市岩槻区大字岩槻6829-1,岩槻区,書道,小学生/中高生,,https://kodomo-booster.com/prefectures/saitama/cities/11100/categories/calligraphy,岩槻エリアの書道教室
