緯度,経度,名称,住所,区,ジャンル,対象年齢,費用目安,URL,説明
35.90699,139.621796,EYS-Kids極真空手 大宮スタジオ,埼玉県さいたま市大宮区桜木町2-3-2,大宮区,武道,幼児/小学生,月謝8800円,https://kodomo-booster.com/prefectures/saitama/cities/11100/categories/karate,極真空手の子供向け教室
35.846161,139.667603,EYS-Kids極真空手 南浦和スタジオ,埼玉県さいたま市南区南本町1-7-4,南区,武道,幼児/小学生,月謝8800円,https://kodomo-booster.com/prefectures/saitama/cities/11100/categories/karate,南浦和駅徒歩3分
35.939262,139.65361,大宮武道館 空手 堀崎教室,埼玉県さいたま市見沼区堀崎12-36,見沼区,武道,幼児/小学生/中高生,,https://kodomo-booster.com/prefectures/saitama/cities/11100/categories/karate,子供から大人まで空手を学べる
35.849995,139.667145,極真拳武會 南浦和道場,埼玉県さいたま市南区南浦和1-23-12,南区,武道,幼児/小学生/中高生,,https://kodomo-booster.com/prefectures/saitama/cities/11100/categories/karate,人の話を聞く能力が向上すると評判
35.844357,139.653168,白蓮会館 浦和支部 西野道場,埼玉県さいたま市南区白幡3-5-4,南区,武道,幼児/小学生/中高生,,https://kodomo-booster.com/prefectures/saitama/cities/11100/categories/karate,兄弟姉妹関係の成長を促進
35.838005,139.669968,日本空手協会 浦和謙武支部,埼玉県さいたま市南区文蔵4-19-3,南区,武道,幼児/小学生/中高生,,https://kodomo-booster.com/prefectures/saitama/cities/11100/categories/karate,伝統空手を基礎から指導
35.906647,139.629776,日本空手協会 大宮支部,埼玉県さいたま市大宮区大門町3-1,大宮区,武道,小学生/中高生,,https://kodomo-booster.com/prefectures/saitama/cities/11100/categories/karate,体力向上と精神力を鍛える
35.882477,139.634491,長崎道場 与野教室,埼玉県さいたま市中央区下落合1060-14,中央区,武道,幼児/小学生/中高生,,https://karate-saitama.com/,剛柔流空手 無料体験可
35.857063,139.651749,長崎道場 浦和教室,埼玉県さいたま市浦和区高砂3-6-18,浦和区,武道,幼児/小学生/中高生,,https://karate-saitama.com/,剛柔流空手 無料体験可
35.910149,139.639114,誠道館 空手教室,埼玉県さいたま市大宮区堀の内町1-195,大宮区,武道,幼児/小学生/中高生,,https://omiya-seidokan.com/,初心者の方もお気軽に
35.85923,139.657837,尚武舘,埼玉県さいたま市浦和区東仲町11-1,浦和区,武道,幼児/小学生/中高生/成人,,https://shobukan-dojo.jp,合気道・空手道・居合道・古武道
35.90699,139.621796,EYS-Kidsフランス柔道 大宮スタジオ,埼玉県さいたま市大宮区桜木町2-3-2,大宮区,武道,幼児/小学生,月謝8800円,https://kodomo-booster.com/prefectures/saitama/cities/11100/categories/karate,護身術クラスあり
35.846161,139.667603,EYS-Kidsフランス柔道 南浦和スタジオ,埼玉県さいたま市南区南本町1-7-4,南区,武道,幼児/小学生,月謝8800円,https://kodomo-booster.com/prefectures/saitama/cities/11100/categories/karate,女子向け護身術講座あり
35.914425,139.614151,大宮中央剣友会,埼玉県さいたま市大宮区大成町2-282,大宮区,武道,幼児/小学生,,https://omiyachuoken.com/,大成小学校体育館で活動
35.84227,139.651001,埼玉田島剣友会,埼玉県さいたま市南区白幡5-5-12,南区,武道,小学生/中高生,,https://www.saitamatajima.com/,武蔵浦和エリアの剣道教室
35.893513,139.727921,美園剣友会,埼玉県さいたま市緑区美園4-12,緑区,武道,小学生/中高生,,http://misonoken.com/,浦和美園地区中心の剣道クラブ
35.928249,139.578979,大宮武蔵剣友会,埼玉県さいたま市西区西大宮3-69-1,西区,武道,小学生/中高生,,https://omiya-musashi.com/,栄小学校で週3回活動
