緯度,経度,名称,住所,区,ジャンル,対象年齢,費用目安,URL,説明
35.845165,139.669647,ベネッセの英語教室 BE studio 南浦和本部教室,埼玉県さいたま市南区文蔵1-17-10,南区,英語,幼児/小学生,月謝7150円-7260円,https://kodomo-booster.com/prefectures/saitama/cities/11100/categories/english,聞く読む話す書くの4技能を習得
35.920017,139.622742,こども英会話専門校アミティー 北大宮校,埼玉県さいたま市北区東大成町1-479,北区,英語,幼児/小学生/中高生,月謝7920円-9020円,https://www.amity.co.jp/school/kanto/saitama/saitama-yono/,0歳から15歳まで対面・オンライン対応
35.884804,139.636963,こども英会話専門校アミティー さいたま与野校,埼玉県さいたま市中央区下落合1712-20,中央区,英語,幼児/小学生/中高生,月謝7920円-9020円,https://www.amity.co.jp/school/kanto/saitama/saitama-yono/,0歳から15歳まで対面・オンライン対応
35.839687,139.632675,リヌー英語学院 西浦和教室,埼玉県さいたま市南区四谷1-2-27,南区,英語,幼児/小学生,月謝3300円,https://kodomo-booster.com/prefectures/saitama/cities/11100/categories/english,わかる英語から使える英語への指導
35.905525,139.621902,NOVAバイリンガルKIDS 大宮校,埼玉県さいたま市大宮区桜木町1-1-12,大宮区,英語,幼児/小学生,月謝10450円-12430円,https://kodomo-booster.com/prefectures/saitama/cities/11100/categories/english,外国人講師による少人数レッスン
35.859062,139.655701,ECC KIDS 浦和校,埼玉県さいたま市浦和区高砂1-13-12,浦和区,英語,幼児/小学生/中高生,,https://www.kids.ecc.jp/school/saitama/urawa/,ECC独自の厳しい採用基準を満たした講師
35.905525,139.621902,ECC KIDS 大宮校,埼玉県さいたま市大宮区桜木町1-1-27,大宮区,英語,幼児/小学生/中高生,,https://www.kids.ecc.jp/school/saitama/omiya/,ECC独自の厳しい採用基準を満たした講師
35.907913,139.624664,神田外語キッズクラブ 大宮教室,埼玉県さいたま市大宮区宮町1-5,大宮区,英語,幼児/小学生,,https://kidsclub.co.jp/children/school/omiya/,神田外語グループのこども英語教室
35.891033,139.62793,M&Jイングリッシュクラブ 北与野教室,埼玉県さいたま市中央区上落合2-3-5,中央区,英語,幼児/小学生/中高生,,https://www.mandjec.com/,外国人講師による子ども英語教室
35.88398,139.62616,M&Jイングリッシュクラブ 南与野教室,埼玉県さいたま市中央区鹿手袋4-1-7,中央区,英語,幼児/小学生/中高生,,https://www.mandjec.com/,外国人講師による子ども英語教室
35.842686,139.663132,ECCジュニア 浦和根岸教室,埼玉県さいたま市南区根岸3-19-2,南区,英語,幼児/小学生/中高生,月謝6600円-12100円,https://eccjuniorbs.jp/ht110920/,長期一貫学習で世界標準の英語力を習得
