緯度,経度,名称,住所,区,ジャンル,対象年齢,費用目安,URL,説明
35.908714,139.624954,ヤマハ音楽教室 大宮センター,埼玉県さいたま市大宮区宮町1-40,大宮区,音楽,幼児/小学生,,https://school.jp.yamaha.com/music/venue/detail/?id=124004003,グループレッスン中心の総合音楽教育
35.905388,139.626755,ヤマハ音楽教室 大宮店,埼玉県さいたま市大宮区仲町1-35,大宮区,音楽,幼児/小学生,,https://school.jp.yamaha.com/music/venues/detail/?prefecture=埼玉県さいたま市,50年以上の歴史を持つ音楽教室
35.932701,139.622437,ヤマハ音楽教室 北区宮原教室,埼玉県さいたま市北区宮原町1-854-1,北区,音楽,幼児/小学生,,https://school.jp.yamaha.com/music/venues/detail/?prefecture=埼玉県さいたま市,ステラモール南棟2F
35.904758,139.62207,ヤマハ音楽教室 大宮そごう教室,埼玉県さいたま市大宮区桜木町1-6-2,大宮区,音楽,幼児/小学生,,https://school.jp.yamaha.com/music/venues/detail/?prefecture=埼玉県さいたま市,そごう大宮店内
35.905506,139.619995,カワイ音楽教室 MS大宮(ソニックシティビル),埼玉県さいたま市大宮区桜木町1-7-5,大宮区,音楽,幼児/小学生,月謝8250円-8800円,https://music.kawai.jp/search/detail/00E186,サウンドツリーを使用した個人レッスン
35.906071,139.621536,カワイ音楽教室 大宮駅西口センター,埼玉県さいたま市大宮区桜木町2-2-17,大宮区,音楽,幼児/小学生,月謝8250円-8800円,https://music.kawai.jp/search/area/11,サウンドツリーを使用した個人レッスン
35.856823,139.645645,カワイ音楽教室 浦和教室,埼玉県さいたま市浦和区高砂4-13-18,浦和区,音楽,幼児/小学生,月謝8250円-8800円,https://music.kawai.jp/search/area/11,サウンドツリーを使用した個人レッスン
35.950104,139.693756,昭和楽器ピアノ個人教室 岩槻センター,埼玉県さいたま市岩槻区本町3-2-5,岩槻区,音楽,幼児/小学生,月謝8800円,https://www.showagakki.co.jp/lesson/iwatsuki_c.html,聴く歌う弾くをバランスよく学ぶ
35.891598,139.637924,ウィズダムアカデミー ピアノ教室 さいたま新都心校,埼玉県さいたま市大宮区北袋町1-601-1,大宮区,音楽,幼児/小学生,,https://kodomo-booster.com/prefectures/saitama/cities/11100/categories/piano,個々のレベルに合わせたプライベートレッスン
35.90699,139.621796,EYS-Kids音楽教室 ピアノ 大宮スタジオ,埼玉県さいたま市大宮区桜木町2-3-2,大宮区,音楽,幼児/小学生,,https://kodomo-booster.com/prefectures/saitama/cities/11100/categories/piano,楽器無料プレゼントあり
35.899292,139.604538,川勝ピアノ教室,埼玉県さいたま市大宮区三橋2-803,大宮区,音楽,幼児/小学生/中高生,,https://web.lesson-time.com/kawakatsupiano,個人ピアノ教室
