緯度,経度,名称,住所,区,種別,設置区分,特別支援,定員,電話番号
35.855579,139.643143,埼玉大学教育学部附属中学校,埼玉県さいたま市南区別所４－２－５,南区,中学校,国立,,,
35.927486,139.576675,さいたま市立指扇中学校,埼玉県さいたま市西区西大宮３丁目３１番地１,西区,中学校,公立,知的固定・情緒固定あり,,
35.89872,139.579361,さいたま市立馬宮中学校,埼玉県さいたま市西区二ツ宮５８９－１,西区,中学校,公立,知的固定・情緒固定あり,,
35.919586,139.589874,さいたま市立大宮西中学校,埼玉県さいたま市西区三橋６－１５５８,西区,中学校,公立,知的固定・情緒固定あり,,
35.929565,139.59819,さいたま市立宮前中学校,埼玉県さいたま市西区宮前町１４６７－１,西区,中学校,公立,知的固定・情緒固定あり,,
35.886765,139.58371,さいたま市立植水中学校,埼玉県さいたま市西区三条町３４５－１,西区,中学校,公立,知的固定・情緒固定あり,,
35.911091,139.571518,さいたま市立土屋中学校,埼玉県さいたま市西区土屋１７６６－１,西区,中学校,公立,知的固定・情緒固定あり,,
35.922535,139.609924,さいたま市立日進中学校,埼玉県さいたま市北区櫛引町２－５０３－１,北区,中学校,公立,知的固定・情緒固定あり,,
35.951778,139.605118,さいたま市立宮原中学校,埼玉県さいたま市北区宮原町４－１２９,北区,中学校,公立,知的固定・情緒固定あり,,
35.933815,139.627335,さいたま市立植竹中学校,埼玉県さいたま市北区土呂町３５２番地,北区,中学校,公立,知的固定・情緒固定あり,,
35.948788,139.627396,さいたま市立泰平中学校,埼玉県さいたま市北区本郷町１９９１,北区,中学校,公立,知的固定・情緒固定あり,,
35.938663,139.637772,さいたま市立土呂中学校,埼玉県さいたま市北区見沼３－７５,北区,中学校,公立,知的固定・情緒固定あり,,
35.908325,139.635559,さいたま市立大宮東中学校,埼玉県さいたま市大宮区堀の内町１－９９,大宮区,中学校,公立,知的固定・情緒固定あり,,
35.899437,139.638,さいたま市立大宮南中学校,埼玉県さいたま市大宮区天沼町２－３６２,大宮区,中学校,公立,知的固定・情緒固定あり,,
35.921692,139.632248,さいたま市立大宮北中学校,埼玉県さいたま市大宮区寿能町１－２１,大宮区,中学校,公立,知的固定・情緒固定あり,,
