緯度,経度,名称,住所,区,種別,設置区分,特別支援,定員,電話番号
35.861889,139.643646,埼玉大学教育学部附属小学校,埼玉県さいたま市浦和区常盤６－９－４４,浦和区,小学校,国立,,,
35.922451,139.573044,さいたま市立指扇小学校,埼玉県さいたま市西区西大宮１丁目４９番地６,西区,小学校,公立,知的固定・情緒固定あり,,
35.904213,139.571411,さいたま市立馬宮東小学校,埼玉県さいたま市西区大字西遊馬１８９－１,西区,小学校,公立,知的固定・情緒固定あり,,
35.885693,139.559006,さいたま市立馬宮西小学校,埼玉県さいたま市西区飯田新田１８９－２,西区,小学校,公立,知的固定・情緒固定あり,,
35.894073,139.594513,さいたま市立植水小学校,埼玉県さいたま市西区中野林２２５－１,西区,小学校,公立,知的固定・情緒固定あり,,
35.904217,139.590866,さいたま市立大宮西小学校,埼玉県さいたま市西区三橋５－１３５９,西区,小学校,公立,知的固定・情緒固定あり,,
35.907173,139.582565,さいたま市立栄小学校,埼玉県さいたま市西区飯田８１１,西区,小学校,公立,知的固定・情緒固定あり,,
35.924,139.595184,さいたま市立宮前小学校,埼玉県さいたま市西区宮前町３４１番地,西区,小学校,公立,知的固定・情緒固定あり,,
35.932861,139.57132,さいたま市立指扇北小学校,埼玉県さいたま市西区中釘１５０６－１,西区,小学校,公立,知的固定・情緒固定あり,,
35.925369,139.618286,さいたま市立東大成小学校,埼玉県さいたま市北区東大成町２－１２,北区,小学校,公立,知的固定・情緒固定あり,,
35.924988,139.607635,さいたま市立日進小学校,埼玉県さいたま市北区日進町２－９１１,北区,小学校,公立,知的固定・情緒固定あり,,
35.936733,139.603821,さいたま市立日進北小学校,埼玉県さいたま市北区日進町３－１７８,北区,小学校,公立,知的固定・情緒固定あり,,
35.948902,139.606812,さいたま市立宮原小学校,埼玉県さいたま市北区宮原町４－１０２－６,北区,小学校,公立,知的固定・情緒固定あり,,
35.929649,139.626343,さいたま市立植竹小学校,埼玉県さいたま市北区植竹町２－１,北区,小学校,公立,知的固定・情緒固定あり,,
35.937225,139.627441,さいたま市立大砂土小学校,埼玉県さいたま市北区本郷町１,北区,小学校,公立,知的固定・情緒固定あり,,
35.954964,139.597519,さいたま市立大宮別所小学校,埼玉県さいたま市北区別所町４２－１,北区,小学校,公立,知的固定・情緒固定あり,,
35.949554,139.62648,さいたま市立泰平小学校,埼玉県さいたま市北区今羽町６２８番地,北区,小学校,公立,知的固定・情緒固定あり,,
35.933681,139.610916,さいたま市立つばさ小学校,埼玉県さいたま市北区宮原町３－９０２－４,北区,小学校,公立,知的固定・情緒固定あり,,
35.906647,139.629776,さいたま市立大宮小学校,埼玉県さいたま市大宮区大門町３－３,大宮区,小学校,公立,知的固定・情緒固定あり,,
35.913998,139.635788,さいたま市立大宮東小学校,埼玉県さいたま市大宮区堀の内町３－１４５,大宮区,小学校,公立,知的固定・情緒固定あり,,
35.900581,139.633881,さいたま市立大宮南小学校,埼玉県さいたま市大宮区吉敷町３－８７,大宮区,小学校,公立,知的固定・情緒固定あり,,
35.911427,139.627853,さいたま市立大宮北小学校,埼玉県さいたま市大宮区宮町３－８４,大宮区,小学校,公立,知的固定・情緒固定あり,,
35.903103,139.617554,さいたま市立桜木小学校,埼玉県さいたま市大宮区桜木町４－３２８－９,大宮区,小学校,公立,知的固定・情緒固定あり,,
35.90353,139.604828,さいたま市立三橋小学校,埼玉県さいたま市大宮区三橋２－２０,大宮区,小学校,公立,知的固定・情緒固定あり,,
35.914425,139.614151,さいたま市立大成小学校,埼玉県さいたま市大宮区大成町２－２８２,大宮区,小学校,公立,知的固定・情緒固定あり,,
35.904934,139.645523,さいたま市立芝川小学校,埼玉県さいたま市大宮区天沼町２丁目１０７７番地,大宮区,小学校,公立,知的固定・情緒固定あり,,
35.896652,139.616928,さいたま市立上小小学校,埼玉県さいたま市大宮区上小町１３３７－１,大宮区,小学校,公立,知的固定・情緒固定あり,,
35.937214,139.646759,さいたま市立大砂土東小学校,埼玉県さいたま市見沼区大和田町２－９９８,見沼区,小学校,公立,知的固定・情緒固定あり,,
35.948463,139.632706,さいたま市立見沼小学校,埼玉県さいたま市見沼区東大宮２－４５,見沼区,小学校,公立,知的固定・情緒固定あり,,
35.910564,139.670761,さいたま市立片柳小学校,埼玉県さいたま市見沼区大字東新井２４４－１,見沼区,小学校,公立,知的固定・情緒固定あり,,
35.929123,139.676407,さいたま市立七里小学校,埼玉県さいたま市見沼区大字東宮下３１２番地,見沼区,小学校,公立,知的固定・情緒固定あり,,
35.949329,139.662079,さいたま市立春岡小学校,埼玉県さいたま市見沼区春岡２－２９－１,見沼区,小学校,公立,知的固定・情緒固定あり,,
35.934086,139.660995,さいたま市立蓮沼小学校,埼玉県さいたま市見沼区蓮沼１０７０,見沼区,小学校,公立,知的固定・情緒固定あり,,
35.921005,139.666031,さいたま市立大谷小学校,埼玉県さいたま市見沼区大字大谷１８番地,見沼区,小学校,公立,知的固定・情緒固定あり,,
35.94643,139.652176,さいたま市立島小学校,埼玉県さいたま市見沼区島町５３３－２,見沼区,小学校,公立,知的固定・情緒固定あり,,
35.925739,139.678101,さいたま市立東宮下小学校,埼玉県さいたま市見沼区東宮下２１５番地１,見沼区,小学校,公立,知的固定・情緒固定あり,,
35.906288,139.659561,さいたま市立海老沼小学校,埼玉県さいたま市見沼区大字東新井７１０番地の５,見沼区,小学校,公立,知的固定・情緒固定あり,,
35.956509,139.667603,さいたま市立春野小学校,埼玉県さいたま市見沼区春野１－１０－１,見沼区,小学校,公立,知的固定・情緒固定あり,,
