緯度,経度,名称,住所,区,種別,設置区分,特別支援,定員,電話番号
35.925453,139.610992,埼玉大学教育学部附属特別支援学校,埼玉県さいたま市北区日進町２－４８０,北区,特別支援学校,国立,,,
35.93174,139.625961,埼玉県立特別支援学校大宮ろう学園,埼玉県さいたま市北区植竹町２－６８,北区,特別支援学校,公立,,,
35.881752,139.715973,埼玉県立浦和特別支援学校,埼玉県さいたま市緑区大崎５８,緑区,特別支援学校,公立,,,
35.943329,139.573715,埼玉県立大宮北特別支援学校,埼玉県さいたま市西区中釘２２９０－１,西区,特別支援学校,公立,,,
35.909317,139.560532,埼玉県立大宮北特別支援学校さいたま西分校,埼玉県さいたま市西区西遊馬１６０１,西区,特別支援学校,公立,,,
35.870735,139.61319,埼玉県立特別支援学校さいたま桜高等学園,埼玉県さいたま市桜区上大久保５１９－７,桜区,特別支援学校,公立,,,
35.891815,139.632233,埼玉県立けやき特別支援学校,埼玉県さいたま市中央区新都心１番地２,中央区,特別支援学校,公立,,,
35.969162,139.663055,埼玉県立岩槻はるかぜ特別支援学校,埼玉県さいたま市岩槻区馬込１１－２４２６－１,岩槻区,特別支援学校,公立,,,
35.927193,139.645187,埼玉県立上尾かしの木特別支援学校大宮商業分校,埼玉県さいたま市見沼区大和田町１－３５６,見沼区,特別支援学校,公立,,,
35.920925,139.590118,さいたま市立ひまわり特別支援学校,埼玉県さいたま市西区三橋６－１５８７,西区,特別支援学校,公立,,,
35.892044,139.673401,さいたま市立さくら草特別支援学校,埼玉県さいたま市緑区三室６３６－８０,緑区,特別支援学校,公立,,,
