緯度,経度,名称,住所,区,種別,設置区分,特別支援,定員,電話番号
35.853615,139.651764,岸町保育園,埼玉県さいたま市浦和区岸町6-5-12,浦和区,認可保育所,公立,,150,048-822-3010
35.866646,139.657333,本太保育園,埼玉県さいたま市浦和区本太4-3-15,浦和区,認可保育所,公立,,140,048-882-3561
35.88229,139.649048,領家保育園,埼玉県さいたま市浦和区領家7-14-16,浦和区,認可保育所,公立,,110,048-831-4378
35.872261,139.660126,駒場保育園,埼玉県さいたま市浦和区駒場1-27-7,浦和区,認可保育所,公立,,110,048-886-9200
35.86977,139.603561,大久保保育園,埼玉県さいたま市桜区大久保領家373-1,桜区,認可保育所,公立,,110,048-854-8818
35.858574,139.651733,浦和中央保育園,埼玉県さいたま市浦和区仲町2-13-7,浦和区,認可保育所,公立,,95,048-822-2067
35.840088,139.665466,南浦和保育園,埼玉県さいたま市南区根岸2-19-3,南区,認可保育所,公立,,110,048-861-6954
35.843433,139.631165,田島保育園,埼玉県さいたま市桜区田島2-16-7,桜区,認可保育所,公立,,190,048-862-3425
35.874172,139.686768,尾間木保育園,埼玉県さいたま市緑区中尾1432-5,緑区,認可保育所,公立,,110,048-873-1103
35.869591,139.671768,原山保育園,埼玉県さいたま市緑区原山1-7-2,緑区,認可保育所,公立,,90,048-885-7403
35.867062,139.647003,常盤保育園,埼玉県さいたま市浦和区常盤9-3-16,浦和区,認可保育所,公立,,70,048-833-8730
35.877586,139.641602,常盤北保育園,埼玉県さいたま市浦和区針ヶ谷4-1-1,浦和区,認可保育所,公立,,120,048-833-8728
35.840092,139.675369,文蔵保育園,埼玉県さいたま市南区文蔵3-7-14,南区,認可保育所,公立,,110,048-863-1037
35.84465,139.655624,白幡保育園,埼玉県さいたま市南区白幡3-1-2,南区,認可保育所,公立,,140,048-863-8105
35.84618,139.674332,大谷場保育園,埼玉県さいたま市南区南浦和3-36-11,南区,認可保育所,公立,,110,048-885-8992
