緯度,経度,名称,住所,区,種別,設置区分,特別支援,定員,電話番号
35.905796,139.578583,認定こども園愛徳幼稚園,埼玉県さいたま市西区プラザ３６－１１,西区,認定こども園,私立,,,
35.919861,139.558014,認定こども園さしおうぎ幼稚園,埼玉県さいたま市西区宝来１１７５－１,西区,認定こども園,私立,,,
35.907658,139.620499,認定こども園聖愛幼稚園,埼玉県さいたま市大宮区桜木町２－１７２,大宮区,認定こども園,私立,,,
35.929447,139.683746,七里ふたばこども園,埼玉県さいたま市見沼区東宮下４８０,見沼区,認定こども園,私立,,,
35.885456,139.636505,認定こども園与野あいし幼稚園,埼玉県さいたま市中央区下落合１０３０,中央区,認定こども園,私立,,,
35.856537,139.633408,認定こども園ひなどり幼稚園,埼玉県さいたま市桜区西堀２－６－１８,桜区,認定こども園,私立,,,
35.869602,139.605927,認定こども園浦和こばと幼稚園,埼玉県さいたま市桜区大久保領家１０３－１,桜区,認定こども園,私立,,,
35.863678,139.662338,認定こども園母の会,埼玉県さいたま市浦和区本太１－２０－１０,浦和区,認定こども園,私立,,,
35.881866,139.650024,ひかり認定こども園,埼玉県さいたま市浦和区領家７丁目２－１４,浦和区,認定こども園,私立,,,
35.836563,139.630142,認定こども園こどものにわ西浦和幼稚園,埼玉県さいたま市南区曲本１－２１－２２,南区,認定こども園,私立,,,
35.931705,139.731781,認定こども園岩槻ひまわり幼稚園,埼玉県さいたま市岩槻区飯塚２３３,岩槻区,認定こども園,私立,,,
